run_id,run_name,train_dataset,step_tag,logsteps,pretrained,freeze,timestamp,benchmark,auc_steps,auc,auc_normalized,auc_points,flow_recall,flow_precision,flow_outside,resnet_recall,resnet_precision,resnet_outside,dino_recall,dino_precision,dino_outside,flow_mmd,feature_mmd,dino_mmd,flow_recall_logit,flow_precision_logit,flow_outside_logit,resnet_recall_logit,resnet_precision_logit,resnet_outside_logit,dino_recall_logit,dino_precision_logit,dino_outside_logit,baseline_value,auc_delta,baseline_train_dataset
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21,pointodyssey,steps,100,True,True,2025_12_11_00_21,pointodyssey,5000,152033.35,30.406670000000002,5,0.09559769850839704,0.14730774826650345,0.8526922517334965,0.2975566426125626,0.32459599663343575,0.6754040033665643,0.058874787533355136,3.071611607032183e-05,0.9999692838839297,0.1970680356025695,0.0461983606219291,0.0029795211739838,-2.247125539584742,-1.7558747749326584,1.755874774932658,-0.8589601657045158,-0.7327297135606865,0.7327297135606865,-2.7716632503736314,-10.390692371092474,10.390692371092982,24.515383333333332,5.8912866666666694,spair
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21,pointodyssey,steps,100,True,True,2025_12_11_00_21,spair,5000,60128.3,12.02566,5,0.0006379930779751116,0.1271820081967209,0.8728179918032791,0.4296341672615527,0.253888317954017,0.746111682045983,0.02503889056451512,0.0,1.0,0.8958064317703247,0.0372311100363731,0.0019985870458185,-7.356544927564969,-1.9261078522890949,1.926107852289095,-0.2833438940134807,-1.0779808196043372,1.0779808196043372,-3.6619673437224467,-13.815509557963773,13.815509557935018,19.357693333333334,-7.332033333333333,spair
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21,pointodyssey,steps,100,True,True,2025_12_11_00_21,synthetic,5000,126781.5,25.3563,5,,,,,,,,,,0.5767019391059875,0.0903046876192092,0.001776477205567,,,,,,,,,,29.962760000000003,-4.606460000000002,spair
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21,pointodyssey,steps,100,True,True,2025_12_11_00_21,tss,5000,206886.05,41.37721,5,0.0035377141427533655,0.27217284173144773,0.7278271582685523,0.4141483238151876,0.3527509206069136,0.6472490793930864,0.021002950952295665,0.0160659960753883,0.9839340039246117,0.5973126888275146,0.0187124498188495,0.0016833532135933,-5.6407304961396365,-0.9836262880205411,0.9836262880205411,-0.34684246547917147,-0.6069689957653173,0.6069689957653173,-3.8418656788853034,-4.114853832149693,4.114853832149694,43.74900333333333,-2.371793333333329,spair
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey,steps,100,True,True,2025_12_12_23_45,flyingthings,5000,306208.35000000003,61.241670000000006,5,0.010053296932050197,0.5088436144750872,0.4911563855249128,0.3950082247167559,0.2794855929302831,0.7205144070697169,0.033390817959972605,0.11491543480254499,0.885084565197455,0.5806678533554077,0.0284111928194761,0.0016727743204683,-4.589750472746763,0.035378147418594554,-0.03537814741859453,-0.42630827661320203,-0.9470146657726355,0.9470146657726354,-3.365513307873559,-2.041486686020306,2.041486686020306,53.90556,7.336110000000005,spair
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey,steps,100,True,True,2025_12_12_23_45,kitti2012,5000,372251.95,74.45039,5,0.0435035504011905,0.12741498164456927,0.8725850183554307,0.3816639411454963,0.14707171947490544,0.8529282805250946,0.029405838007069623,0.0847696987641634,0.9152303012358366,0.9307700991630554,0.053868368268013,0.0017896406352519,-3.0904345238237863,-1.9240107600200127,1.9240107600200123,-0.48249160802343133,-1.7577551094691022,1.7577551094691024,-3.4967151958086324,-2.379237575897827,2.379237575897827,64.06846666666667,10.381923333333333,spair
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey,steps,100,True,True,2025_12_12_23_45,kitti2015,5000,375308.44999999995,75.06168999999998,5,,,,,,,,,,0.8946569561958313,0.0623247697949409,0.0018274903995916,,,,,,,,,,65.10567999999999,9.956009999999992,spair
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey,steps,100,True,True,2025_12_12_23_45,middlebury,5000,207452.45,41.49049,5,0.01640671057541398,0.22927905864845727,0.7707209413515428,0.36770262317897073,0.35509226882697453,0.6449077311730255,0.02507401955997992,0.06587972637872966,0.9341202736212704,0.4707968235015869,0.0374895259737968,0.0017147951293736,-4.093522055289,-1.212386505887496,1.2123865058874963,-0.5420852941243304,-0.5967295862251187,0.5967295862251186,-3.660529317834894,-2.651774450579656,2.6517744505796563,37.7005,3.789990000000003,spair
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey,steps,100,True,True,2025_12_12_23_45,pfpascal,5000,88619.75,17.72395,5,0.0033581181410623964,0.22711475112463822,0.7728852488753618,0.41915466822997605,0.17621831318750086,0.8237816868124992,0.0375784640062466,0.06415250701901505,0.9358474929809849,0.7308903932571411,0.0300277210772037,0.0015947729116305,-5.69301076969875,-1.2246751871903825,1.2246751871903827,-0.32624452263797765,-1.5421819094210212,1.5421819094210214,-3.243021421281919,-2.680189357477865,2.680189357477864,27.819223333333337,-10.095273333333338,spair
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey,steps,100,True,True,2025_12_12_23_45,pfwillow,5000,105777.85,21.15557,5,0.003258420112872361,0.15724606437926597,0.8427539356207341,0.38011184849167895,0.3265369296798365,0.6734630703201635,0.023703992896532706,0.0,1.0,0.6815898418426514,0.1024791523814201,0.0016700546257197,-5.723249088703045,-1.6788631566049002,1.6788631566049006,-0.48907351342446853,-0.7238901117916602,0.7238901117916602,-3.718122315800429,-13.815509557963773,13.815509557935018,32.30222,-11.146649999999998,spair
