space,train_dataset,train_split,eval_dataset,eval_split,train_n_vectors,eval_n_vectors,distance_metric,flow_normalized,mean_nn_eval_to_train_k1,median_nn_eval_to_train_k1,p90_nn_eval_to_train_k1,p95_nn_eval_to_train_k1,mean_nn_train_to_eval_k1,median_nn_train_to_eval_k1,p90_nn_train_to_eval_k1,p95_nn_train_to_eval_k1,eval_covered_by_train_eps0p5px,train_covered_by_eval_eps0p5px,eval_covered_by_train_eps0p75px,train_covered_by_eval_eps0p75px,eval_covered_by_train_eps1px,train_covered_by_eval_eps1px,eval_covered_by_train_eps1p5px,train_covered_by_eval_eps1p5px,eval_covered_by_train_eps2px,train_covered_by_eval_eps2px,eval_covered_by_train_eps3px,train_covered_by_eval_eps3px,eval_covered_by_train_eps4px,train_covered_by_eval_eps4px,eval_covered_by_train_eps6px,train_covered_by_eval_eps6px,eval_covered_by_train_eps8px,train_covered_by_eval_eps8px,eval_covered_by_train_eps12px,train_covered_by_eval_eps12px,eval_covered_by_train_eps16px,train_covered_by_eval_eps16px,eval_covered_by_train_eps24px,train_covered_by_eval_eps24px,eval_covered_by_train_eps32px,train_covered_by_eval_eps32px,eval_covered_by_train_eps48px,train_covered_by_eval_eps48px,eval_covered_by_train_eps64px,train_covered_by_eval_eps64px
flow,imagenet2dwarp,train,kitti2015,val,10240000,408402,sqL2,True,1.4768975376000526e-08,9.394920397198803e-09,3.324145438909909e-08,4.4585840619504315e-08,0.013370123691856861,8.739672921365127e-05,0.04326710887253284,0.07928220517933361,0.9999975514321673,0.3362998046875,0.9999975514321673,0.387426171875,0.9999975514321673,0.418440234375,0.9999975514321673,0.4576296875,0.9999975514321673,0.48389775390625,1.0,0.51999912109375,1.0,0.54592802734375,1.0,0.58305849609375,1.0,0.61167685546875,1.0,0.65734677734375,1.0,0.69481650390625,1.0,0.75614296875,1.0,0.8056443359375,1.0,0.88094287109375,1.0,0.93173896484375
flow,imagenet2dwarp,train,kitti2012,val,10240000,397312,sqL2,True,1.3613184357552655e-08,9.244487841897353e-09,3.140754394337364e-08,4.115295908491126e-08,0.021463992074131966,0.0011782635701820254,0.07109937891364097,0.11911258846521328,1.0,0.2079466796875,1.0,0.24352783203125,1.0,0.26914345703125,1.0,0.30582998046875,1.0,0.3331080078125,1.0,0.37276669921875,1.0,0.40275126953125,1.0,0.4510921875,1.0,0.487539453125,1.0,0.5442173828125,1.0,0.58920400390625,1.0,0.6652736328125,1.0,0.72676904296875,1.0,0.82128955078125,1.0,0.88629521484375
flow,imagenet2dwarp,train,spair,test,10240000,88328,sqL2,True,0.02946232073009014,1.1908056762877095e-07,0.06755665019154551,0.19392708912491796,7.382949661405291e-06,4.649162292480469e-06,1.7017126083374023e-05,2.3305416107177734e-05,0.6841205506747577,0.4337291015625,0.7055859976451408,0.71065341796875,0.7193528665881713,0.87616728515625,0.7350330585997645,0.9824388671875,0.7442260664794855,0.99760244140625,0.7550380400326058,0.9999330078125,0.7620573317634273,0.999998046875,0.7711597681369441,1.0,0.7781337741146636,1.0,0.7911534281315098,1.0,0.8027239380490897,1.0,0.8225138121546961,1.0,0.8400167557286478,1.0,0.8702223530477312,1.0,0.8962276967665972,1.0
flow,imagenet2dwarp,train,pfpascal,test,10240000,2414,sqL2,True,0.00021096256386954337,1.7731082380123553e-08,9.707894221833166e-08,2.5085165447080655e-07,0.0003173185687046498,8.516432717442513e-05,0.0006615668535232544,0.0011977851390838623,0.9792874896437448,0.03947265625,0.9846727423363711,0.0853064453125,0.9859154929577465,0.1438904296875,0.9896437448218725,0.2798009765625,0.9908864954432477,0.41383544921875,0.992129246064623,0.62220732421875,0.9925434962717481,0.748357421875,0.9942004971002486,0.87873564453125,0.9946147473073736,0.935725,0.9950289975144988,0.97666455078125,0.995857497928749,0.99016220703125,0.9971002485501242,0.9974884765625,0.9975144987572494,0.9992263671875,0.9975144987572494,0.999924609375,0.9979287489643744,0.99999658203125
flow,imagenet2dwarp,train,pfwillow,test,10240000,9000,sqL2,True,0.000802345690317452,1.8666959533675254e-08,1.570834058384209e-07,1.3069064209503148e-06,9.743066766532138e-05,2.7999281883239746e-05,0.00018867850303649902,0.0003426671028137207,0.9588888888888889,0.1123259765625,0.9636666666666667,0.2239423828125,0.9677777777777777,0.34346484375,0.9706666666666667,0.5558875,0.973,0.70600576171875,0.9751111111111112,0.8596083984375,0.9761111111111112,0.92519091796875,0.978,0.97261904296875,0.9786666666666667,0.9870888671875,0.9797777777777777,0.9962021484375,0.9817777777777777,0.9984123046875,0.9853333333333333,0.99974580078125,0.9871111111111112,0.9999423828125,0.9921111111111112,0.99999970703125,0.9957777777777778,1.0
flow,imagenet2dwarp,train,pointodyssey,test,10240000,16000000,sqL2,True,2.1447100095883798e-08,9.243782628232111e-09,3.413228810700275e-08,4.391128172187564e-08,4.188452294329181e-05,3.002074606683891e-07,9.492081699136178e-06,3.53125808032927e-05,0.9997794375,0.8356771484375,0.9998713125,0.8943138671875,0.9999174375,0.922706640625,0.999960375,0.94929326171875,0.99997825,0.96222158203125,0.999991375,0.9758001953125,0.999997125,0.98274150390625,0.99999975,0.98971904296875,1.0,0.99277861328125,1.0,0.9959234375,1.0,0.9977048828125,1.0,0.9990935546875,1.0,0.99968388671875,1.0,0.999969140625,1.0,0.9999984375
flow,imagenet2dwarp,train,tss,val,10240000,819200,sqL2,True,0.008748423308134079,1.5233563743777268e-08,1.3856760858743644e-07,0.005095158587209869,7.083405944285914e-05,3.535257064868347e-07,7.5175486472289754e-06,2.3687398424954154e-05,0.929500732421875,0.84939287109375,0.9326025390625,0.90778203125,0.934691162109375,0.93496591796875,0.9373046875,0.95989384765625,0.93885498046875,0.97102021484375,0.94072021484375,0.98021044921875,0.941846923828125,0.98416494140625,0.94349853515625,0.98809267578125,0.944775390625,0.99037646484375,0.94691650390625,0.99342822265625,0.9488818359375,0.99549853515625,0.952547607421875,0.9979255859375,0.95585693359375,0.99908466796875,0.9623291015625,0.9998111328125,0.968450927734375,0.99997275390625
flow,imagenet2dwarp,train,middlebury,val,10240000,98304,sqL2,True,1.5338326164737737e-08,1.0153563323456183e-08,3.478319037242272e-08,4.7771752598180226e-08,0.09880267083644867,0.06187056750059128,0.24938482344150542,0.31605971306562414,1.0,0.00235673828125,1.0,0.0035708984375,1.0,0.0047740234375,1.0,0.007233203125,1.0,0.00970361328125,1.0,0.01482470703125,1.0,0.02002392578125,1.0,0.03088203125,1.0,0.04233037109375,1.0,0.0669640625,1.0,0.093825,1.0,0.153394921875,1.0,0.21887109375,1.0,0.3618982421875,1.0,0.50271220703125
flow,synthetic_2d_warp,train,flyingthings,test,16000000,14319616,sqL2,True,0.00010926307004410774,3.996284476670553e-07,1.0611683478600753e-06,1.4468229210251593e-06,9.133682760875672e-05,4.010909293583609e-08,1.695736841611506e-06,5.720622993976576e-06,0.995866718772347,0.9365424375,0.9981029519227331,0.960948125,0.9984208375420123,0.972738375,0.9987086944230906,0.984047625,0.9988454997675915,0.9891329375,0.9989845398088887,0.9937241875,0.9990538852438501,0.9956474375,0.9991435524528032,0.997183625,0.9992012355638586,0.9978256875,0.9992849668594465,0.998411125,0.9993642287614416,0.9987635,0.9994920953187572,0.999221875,0.9995677258384582,0.999446875,0.9996584405615346,0.9995893125,0.9997129112959454,0.99970125
flow,synthetic_2d_warp,train,kitti2015,val,16000000,408402,sqL2,True,5.8623680843084e-07,4.102082584722666e-07,1.185550070204045e-06,1.7933433582584232e-06,0.0315924696624279,3.610641579143703e-05,0.07295709103345871,0.1644809991121292,0.9991454498263965,0.391924,1.0,0.43887775,1.0,0.4665566875,1.0,0.49788475,1.0,0.519971125,1.0,0.54955175,1.0,0.570737125,1.0,0.602580125,1.0,0.6272058125,1.0,0.666806625,1.0,0.6984215625,1.0,0.748919125,1.0,0.7879633125,1.0,0.8470180625,1.0,0.8892916875
