space,train_dataset,train_split,eval_dataset,eval_split,train_n_vectors,eval_n_vectors,train_radius,eval_radius,eval_covered_by_train_qnorm_k1,train_covered_by_eval_qnorm_k1,train_outside_eval_qnorm_k1,eval_covered_by_train_rnorm_k1,train_covered_by_eval_rnorm_k1,train_outside_eval_rnorm_k1,eval_covered_by_train_qnorm_k5,train_covered_by_eval_qnorm_k5,train_outside_eval_qnorm_k5,eval_covered_by_train_rnorm_k5,train_covered_by_eval_rnorm_k5,train_outside_eval_rnorm_k5,mean_nn_eval_to_train_k1,median_nn_eval_to_train_k1,p90_nn_eval_to_train_k1,p95_nn_eval_to_train_k1,mean_nn_train_to_eval_k1,median_nn_train_to_eval_k1,p90_nn_train_to_eval_k1,p95_nn_train_to_eval_k1,mean_nn_eval_to_train_k5,median_nn_eval_to_train_k5,p90_nn_eval_to_train_k5,p95_nn_eval_to_train_k5,mean_nn_train_to_eval_k5,median_nn_train_to_eval_k5,p90_nn_train_to_eval_k5,p95_nn_train_to_eval_k5
xy,sintel,train,spair,test,2131968,88328,1.52587890625e-05,0.0013580322265625,1.0,0.09241742840417867,0.9075825715958213,1.0,0.924121750420269,0.075878249579731,1.0,0.09187989688400576,0.9081201031159942,1.0,0.9235968832552833,0.07640311674471667,3.9732830359184845e-09,0.0,0.0,0.0,0.0004887895775027573,0.0001983642578125,0.0011138916015625,0.001861572265625,1.3554077895605587e-06,0.0,0.0,1.52587890625e-05,0.0004908475675620139,0.0001983642578125,0.0011138916015625,0.001861572265625
xy,sintel,train,pfpascal,test,2131968,2414,1.52587890625e-05,0.0068511962890625,1.0,0.04486652707732949,0.9551334729226705,1.0,0.9902301535482709,0.00976984645172907,1.0,0.0,1.0,1.0,0.8442908148715178,0.1557091851284822,6.320956646987952e-09,0.0,0.0,0.0,0.0008210159139707685,0.000396728515625,0.0019073486328125,0.0031280517578125,1.517029545539117e-06,0.0,0.0,1.52587890625e-05,0.004284929949790239,0.0025787353515625,0.0094146728515625,0.013946533203125
xy,sintel,train,pfwillow,test,2131968,9000,1.52587890625e-05,0.005395507812499867,1.0,0.01362590808117195,0.9863740919188281,1.0,0.7306563700768491,0.26934362992315086,1.0,0.01362590808117195,0.9863740919188281,1.0,0.7306563700768491,0.26934362992315086,0.0,0.0,0.0,0.0,0.006990484427660704,0.0018463134765625,0.017578125,0.029083251953125,1.190185571431357e-06,0.0,0.0,1.52587890625e-05,0.006990484427660704,0.0018463134765625,0.017578125,0.029083251953125
xy,sintel,train,tss,val,2131968,819200,1.52587890625e-05,3.0517578125e-05,1.0,0.7966057651897214,0.20339423481027863,1.0,0.8367095566162344,0.16329044338376564,1.0,0.5959634478566282,0.40403655214337175,0.999996337890625,0.6692506641750721,0.33074933582492794,3.5762786065873797e-09,0.0,0.0,0.0,0.00014232535613700747,0.0,0.000152587890625,0.00054931640625,1.2514926766016288e-06,0.0,0.0,1.52587890625e-05,0.00040993510629050434,1.52587890625e-05,0.0009307861328125,0.0022735595703125
flow,flyingthings,train,flyingthings,test,11962368,14319616,8.943770239966419e-07,7.745337455844492e-07,0.9786695397418478,0.9829207728770758,0.0170792271229242,0.9804490567344822,0.9814500774428608,0.018549922557139165,0.9389720366803133,0.9508086526012242,0.04919134739877584,0.9437472345627145,0.9458765187628403,0.05412348123715971,5.915977817494422e-05,1.0209246781300862e-09,5.3959571033601605e-08,1.841914425426694e-07,3.2131185434991494e-05,8.607113355374452e-10,4.715709422953301e-08,1.5371587736012794e-07,7.572312460979447e-05,6.92520618628123e-09,3.3071242455662286e-07,1.1025758510641026e-06,4.46997037215624e-05,5.825119941960111e-09,2.959863536489138e-07,8.727234160232923e-07
flow,flyingthings,train,kitti2015,val,11962368,408402,8.943770239966419e-07,1.1392159649403766e-05,0.9999706171860079,0.6947509055063346,0.30524909449366544,0.9990034328921014,0.7855229834093049,0.21447701659069507,0.9997477975132345,0.5581559604252269,0.44184403957477314,0.9915426467059417,0.7320962705711779,0.2679037294288221,1.3261820086540865e-08,7.210606556284915e-10,2.3181292441165637e-08,5.080385143685357e-08,0.006928140763193369,7.837482485228975e-08,0.0008467698644381023,0.00657566182781012,6.643669081540793e-08,5.481695097842021e-09,1.4044047134120776e-07,2.687535086920434e-07,inf,5.540933898373623e-07,0.0011342602316290196,0.009573154989629986
flow,flyingthings,train,kitti2012,val,11962368,397312,8.943770239966419e-07,1.9097484937446823e-06,0.9999748308634021,0.6031327576613593,0.3968672423386407,0.9999219756765464,0.6303174254461993,0.3696825745538007,0.9997835454252577,0.5099327323820836,0.4900672676179164,0.9992650612113402,0.5511523303747218,0.4488476696252782,4.150102039801595e-09,5.973876948672796e-10,8.660853012543162e-09,1.737485648689585e-08,0.008560637943446636,1.0733832311871083e-07,0.00440578781999648,0.017647882178425875,2.1299053187817663e-08,4.310274803742686e-09,4.961659705315931e-08,9.05195406630809e-08,0.010726254433393478,7.570155275971047e-07,0.006969627458602211,0.02594069745391609
flow,flyingthings,train,spair,test,11962368,88328,8.943770239966419e-07,0.0006439685821533203,0.9601258943936237,0.16317321119029277,0.8368267888097072,0.5061701838601576,0.9990661547947697,0.0009338452052303214,0.9099832442713522,8.551818502824859e-05,0.9999144818149718,0.26632551399329774,0.997998389616504,0.0020016103834959997,0.0005296575836837292,8.44122325815988e-07,9.55378251092044e-05,0.0004170564832747907,0.00025689086760394275,3.5017728805541992e-06,1.2429711932782095e-05,1.6497448086738586e-05,0.0008179016294889152,6.6151856117357966e-06,0.000517409358872101,0.0018160136183723752,0.00039267083047889173,2.2304244339466095e-05,4.041241481900215e-05,4.890561103820801e-05
flow,flyingthings,train,pfpascal,test,11962368,2414,8.943770239966419e-07,0.006356538832187651,1.0,0.023071268163627805,0.9769287318363722,0.8989229494614748,0.9942367598121041,0.005763240187895868,1.0,0.0,1.0,0.7067108533554267,0.9868009410845746,0.013199058915425388,1.0978417321894085e-06,3.972500195459361e-08,9.079105041109907e-07,2.258639074170773e-06,0.0020334350410848856,2.776783730951138e-05,0.0001223534345626831,0.0002089378423988826,4.722132871393114e-06,2.8673849783444894e-07,4.79999953313383e-06,1.196342241200909e-05,0.003123281989246607,0.00017712826956994832,0.0005005598068237305,0.0010001013055443778
flow,flyingthings,train,pfwillow,test,11962368,9000,8.943770239966419e-07,0.002103269100189209,1.0,0.09535060282378874,0.9046493971762113,0.8722222222222222,0.9941280020811933,0.0058719979188066596,0.9992222222222222,0.0,1.0,0.6692222222222223,0.9881067026194145,0.011893297380585532,4.044378783873981e-06,4.6322227831296914e-08,1.4227183100956625e-06,4.881131826550682e-06,0.0020288273226469755,6.667327397735789e-06,3.525242209434509e-05,6.619095802307129e-05,1.469540802645497e-05,3.304422762084869e-07,8.302290007122796e-06,2.627013800520196e-05,0.002540627960115671,3.694603219628334e-05,0.00015144050121307373,0.0002811700105667114
