space,train_dataset,train_split,eval_dataset,eval_split,train_n_centroids,eval_n_centroids,train_total_weight,eval_total_weight,distance_metric,flow_normalized,train_kmeans_k,eval_kmeans_k,self_radius_k,radius_quantile,radius_train,radius_eval,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,p95_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,p95_nn_train_to_eval,weighted_distances,weighted_radius,radius_neighbor_agg,flow_image_h,flow_image_w
flow,synthetic_large_zoom,train,spair,test,8192,8192,16000000,88328,sqL2,True,8192,8192,1,0.95,0.00029978156089782715,0.0030008554458618164,0.01671166698646916,0.0003579854965209961,0.03867506980895996,0.07624650001525879,3.7840502269093575e-05,2.767168916761875e-05,7.028132677078247e-05,8.777529001235962e-05,True,True,kth,512,512
flow,synthetic_large_zoom,train,pfpascal,test,8192,2414,16000000,2414,sqL2,True,8192,2414,1,0.95,0.00029978156089782715,0.0010426044464111328,0.0004644073308109324,1.4342367649078369e-05,0.0002803802490234375,0.0007866621017456055,0.0004661349284994228,3.31709161400795e-05,0.00016674399375915527,0.00029644742608070374,True,True,kth,512,512
flow,synthetic_large_zoom,train,pfwillow,test,8192,8192,16000000,9000,sqL2,True,8192,8192,1,0.95,0.00029978156089782715,0.00035321712493896484,0.0009094261099845527,1.6257166862487793e-05,0.0005243569612503052,0.0025625228881835938,0.00022906787440946243,9.587034583091736e-06,5.204975605010986e-05,9.210407733917236e-05,True,True,kth,512,512
flow,synthetic_large_zoom,train,pointodyssey,test,8192,8192,16000000,16000000,sqL2,True,8192,8192,1,0.95,0.00029978156089782715,0.00010276399552822113,9.96546495009244e-06,3.3391479519195855e-06,8.58306884765625e-06,1.0648742318153381e-05,0.000794181637008385,8.753500878810883e-06,0.000481925904750824,0.0012642145156860352,True,True,kth,512,512
flow,synthetic_large_zoom,train,tss,val,8192,8192,16000000,819200,sqL2,True,8192,8192,1,0.95,0.00029978156089782715,0.0013315677642822266,0.0019098547463168069,8.89599323272705e-06,0.0004051029682159424,0.008256137371063232,0.0002468697640082941,4.886649549007416e-06,3.9093196392059326e-05,9.013712406158447e-05,True,True,kth,512,512
flow,synthetic_large_zoom,train,middlebury,val,8192,8192,16000000,98304,sqL2,True,8192,8192,1,0.95,0.00029978156089782715,1.4901161193847656e-08,5.19365187301446e-06,2.2938475012779236e-06,1.3070181012153625e-05,1.9533559679985046e-05,0.0334299103303463,0.008920097723603249,0.0933815985918045,0.14693333208560944,True,True,kth,512,512
flow,synthetic_random_flipping,train,flyingthings,test,8192,8192,16000000,14319616,sqL2,True,8192,8192,1,0.95,0.0027827024459838867,0.0006467252969741821,0.00021526540496915586,1.0372605174779892e-05,3.2044947147369385e-05,5.221366882324219e-05,0.013679492275934976,0.0002972930669784546,0.038327932357788086,0.07552337646484375,True,True,kth,512,512
flow,synthetic_random_flipping,train,kitti2015,val,8192,8192,16000000,408402,sqL2,True,8192,8192,1,0.95,0.0027827024459838867,0.00010410696268081665,1.373610676004042e-05,1.0683923392207362e-05,2.853934529412072e-05,3.396719694137573e-05,0.27110110523843123,0.015431880950927734,1.016150712966919,1.4664974212646484,True,True,kth,512,512
flow,synthetic_random_flipping,train,kitti2012,val,8192,8192,16000000,397312,sqL2,True,8192,8192,1,0.95,0.0027827024459838867,3.530830144882202e-05,1.0360543616876236e-05,8.790928404778242e-06,2.06932018045336e-05,2.5486573576927185e-05,0.27703125067189976,0.02886366844177246,1.01356840133667,1.448143482208252,True,True,kth,512,512
flow,synthetic_random_flipping,train,spair,test,8192,8192,16000000,88328,sqL2,True,8192,8192,1,0.95,0.0027827024459838867,0.0030008554458618164,0.00041183150312128095,7.545948028564453e-05,0.0006804466247558594,0.001488029956817627,0.0003195947653990513,5.574524402618408e-05,0.0005429983139038086,0.0012685060501098633,True,True,kth,512,512
flow,synthetic_random_flipping,train,pfpascal,test,8192,2414,16000000,2414,sqL2,True,8192,2414,1,0.95,0.0027827024459838867,0.0010426044464111328,5.91428240287663e-05,2.3812055587768555e-05,0.00010980665683746338,0.00017496943473815918,0.0773438682443062,0.0002721846103668213,0.2898271083831787,0.5319030284881592,True,True,kth,512,512
flow,synthetic_random_flipping,train,pfwillow,test,8192,8192,16000000,9000,sqL2,True,8192,8192,1,0.95,0.0027827024459838867,0.00035321712493896484,4.695202922165562e-05,2.409331500530243e-05,0.00010436773300170898,0.00015148520469665527,0.022024894276401474,6.988644599914551e-05,0.05117201805114746,0.15403318405151367,True,True,kth,512,512
flow,synthetic_random_flipping,train,pointodyssey,test,8192,8192,16000000,16000000,sqL2,True,8192,8192,1,0.95,0.0027827024459838867,0.00010276399552822113,1.344644246533889e-05,1.0777843272080645e-05,2.6494803023524582e-05,2.9610413548653014e-05,0.1271617670214801,0.0012586116790771484,0.5003224611282349,0.8146463632583618,True,True,kth,512,512
flow,synthetic_random_flipping,train,tss,val,8192,8192,16000000,819200,sqL2,True,8192,8192,1,0.95,0.0027827024459838867,0.0013315677642822266,3.5600700022857536e-05,1.9183382391929626e-05,8.032470941543579e-05,0.0001284182071685791,0.006856931945956378,7.106363773345947e-05,0.003340423107147217,0.01911318302154541,True,True,kth,512,512
flow,synthetic_random_flipping,train,middlebury,val,8192,8192,16000000,98304,sqL2,True,8192,8192,1,0.95,0.0027827024459838867,1.4901161193847656e-08,1.4223462167469355e-05,1.1584488674998283e-05,2.7688685804605484e-05,3.3756718039512634e-05,0.4746872328747092,0.14114879071712494,1.517311692237854,2.106431007385254,True,True,kth,512,512
flow,spair,train,flyingthings,test,8192,8192,371616,14319616,sqL2,True,8192,8192,1,0.95,0.003222942352294922,0.0006467252969741821,0.00020896908860542848,2.7399742975831032e-05,6.097555160522461e-05,7.361918687820435e-05,0.008170172143751802,0.000765487551689148,0.0212860107421875,0.03918635845184326,True,True,kth,512,512
flow,spair,train,kitti2015,val,8192,8192,371616,408402,sqL2,True,8192,8192,1,0.95,0.003222942352294922,0.00010410696268081665,3.189555769828104e-05,2.919696271419525e-05,6.236135959625244e-05,6.72641908749938e-05,0.19407081012600572,0.04600533843040466,0.5951110124588013,0.9016088843345642,True,True,kth,512,512
