space,train_dataset,train_split,eval_dataset,eval_split,epsilon_px,epsilon_norm,epsilon_sq,eval_covered_by_train_weighted,train_covered_by_eval_weighted,train_kmeans_k,eval_kmeans_k
flow,flyingthings,train,pfwillow,test,16.0,0.0625,0.00390625,0.9625555555555556,0.9956483532357473,8192,8192
flow,flyingthings,train,pfwillow,test,24.0,0.09375,0.0087890625,0.9798888888888889,0.9963987063430919,8192,8192
flow,flyingthings,train,pfwillow,test,32.0,0.125,0.015625,0.9887777777777778,0.9968971026472351,8192,8192
flow,flyingthings,train,pfwillow,test,48.0,0.1875,0.03515625,0.9972222222222222,0.9977165892238059,8192,8192
flow,flyingthings,train,pfwillow,test,64.0,0.25,0.0625,1.0,0.9979519105247389,8192,8192
flow,flyingthings,train,pointodyssey,test,0.5,0.001953125,3.814697265625e-06,0.91371625,0.6137868355161787,8192,8192
flow,flyingthings,train,pointodyssey,test,0.75,0.0029296875,8.58306884765625e-06,0.9460221875,0.7019414550697655,8192,8192
flow,flyingthings,train,pointodyssey,test,1.0,0.00390625,1.52587890625e-05,0.9606080625,0.7497385133110769,8192,8192
flow,flyingthings,train,pointodyssey,test,1.5,0.005859375,3.4332275390625e-05,0.977108375,0.8121550850132683,8192,8192
flow,flyingthings,train,pointodyssey,test,2.0,0.0078125,6.103515625e-05,0.9835180625,0.8469318950896678,8192,8192
flow,flyingthings,train,pointodyssey,test,3.0,0.01171875,0.0001373291015625,0.99042775,0.8878589924670434,8192,8192
flow,flyingthings,train,pointodyssey,test,4.0,0.015625,0.000244140625,0.99415775,0.9149445995976716,8192,8192
flow,flyingthings,train,pointodyssey,test,6.0,0.0234375,0.00054931640625,0.9967591875,0.945894575388418,8192,8192
flow,flyingthings,train,pointodyssey,test,8.0,0.03125,0.0009765625,0.9983265,0.961519575388418,8192,8192
flow,flyingthings,train,pointodyssey,test,12.0,0.046875,0.002197265625,0.999612125,0.9779934039815528,8192,8192
flow,flyingthings,train,pointodyssey,test,16.0,0.0625,0.00390625,0.9998770625,0.9842879770961735,8192,8192
flow,flyingthings,train,pointodyssey,test,24.0,0.09375,0.0087890625,1.0,0.9899824181967984,8192,8192
flow,flyingthings,train,pointodyssey,test,32.0,0.125,0.015625,1.0,0.9922061417939994,8192,8192
flow,flyingthings,train,pointodyssey,test,48.0,0.1875,0.03515625,1.0,0.9945130429025424,8192,8192
flow,flyingthings,train,pointodyssey,test,64.0,0.25,0.0625,1.0,0.9957867037696884,8192,8192
flow,flyingthings,train,tss,val,0.5,0.001953125,3.814697265625e-06,0.246453857421875,0.5273952448210922,8192,8192
flow,flyingthings,train,tss,val,0.75,0.0029296875,8.58306884765625e-06,0.357669677734375,0.8180549202298408,8192,8192
flow,flyingthings,train,tss,val,1.0,0.00390625,1.52587890625e-05,0.451756591796875,0.8859731618355162,8192,8192
flow,flyingthings,train,tss,val,1.5,0.005859375,3.4332275390625e-05,0.595247802734375,0.9354826736646122,8192,8192
flow,flyingthings,train,tss,val,2.0,0.0078125,6.103515625e-05,0.691993408203125,0.9559522830262369,8192,8192
flow,flyingthings,train,tss,val,3.0,0.01171875,0.0001373291015625,0.790540771484375,0.9729170679250129,8192,8192
flow,flyingthings,train,tss,val,4.0,0.015625,0.000244140625,0.8402294921875,0.9798343438356018,8192,8192
flow,flyingthings,train,tss,val,6.0,0.0234375,0.00054931640625,0.8864306640625,0.9858700217214518,8192,8192
flow,flyingthings,train,tss,val,8.0,0.03125,0.0009765625,0.906951904296875,0.9882357740541003,8192,8192
flow,flyingthings,train,tss,val,12.0,0.046875,0.002197265625,0.925614013671875,0.9914579621693631,8192,8192
flow,flyingthings,train,tss,val,16.0,0.0625,0.00390625,0.9363623046875,0.9923730819851053,8192,8192
flow,flyingthings,train,tss,val,24.0,0.09375,0.0087890625,0.952293701171875,0.9935281208536637,8192,8192
flow,flyingthings,train,tss,val,32.0,0.125,0.015625,0.96473876953125,0.9946960334274952,8192,8192
flow,flyingthings,train,tss,val,48.0,0.1875,0.03515625,0.982518310546875,0.9954231469889574,8192,8192
flow,flyingthings,train,tss,val,64.0,0.25,0.0625,0.991517333984375,0.9967151152681476,8192,8192
flow,flyingthings,train,middlebury,val,0.5,0.001953125,3.814697265625e-06,0.480621337890625,0.005277884780003424,8192,8192
