train_dataset,train_split,eval_dataset,eval_split,eval_to_train_auc,eval_to_train_eps_at90,eval_to_train_eps_at95,train_to_eval_auc,train_to_eval_eps_at90,train_to_eval_eps_at95
flyingthings_synthetic_70_30,train,pfpascal,test,63.495598591549296,0.5,0.5,61.1251543359375,4.3276054251372935,7.406939175887112
flyingthings_synthetic_70_30,train,pfwillow,test,63.479875,0.5,0.5,62.2158303046875,2.4740738423448296,3.9683247805437514
flyingthings_synthetic_70_30,train,pointodyssey,test,63.499966765625004,0.5,0.5,62.5858383125,0.5,0.963318436160162
flyingthings_synthetic_70_30,train,spair,test,62.64816083235215,1.183339070567986,2.629822335025372,63.304066875000004,0.9789746856272807,1.2714463319999005
flyingthings_synthetic_70_30,train,tss,val,63.201698303222656,0.5,0.5964705882352941,62.6547294140625,0.5,0.8662652947533029
imagenet2dwarp,train,flyingthings,test,63.29524067719414,0.5,0.5,63.49472644042969,0.5,0.5
imagenet2dwarp,train,kitti2012,val,63.5,0.5,0.5,43.918752087402346,,
imagenet2dwarp,train,kitti2015,val,63.49999510286433,0.5,0.5,49.29174555664063,54.002706901059696,
imagenet2dwarp,train,middlebury,val,63.5,0.5,0.5,14.743975939941407,,
imagenet2dwarp,train,pfpascal,test,63.27537282518641,0.5,0.5,60.65690849609375,6.746257096394442,9.394739290255014
imagenet2dwarp,train,pfwillow,test,62.64783333333334,0.5,0.5,62.13272592773437,3.615889750061424,5.046175957040257
imagenet2dwarp,train,pointodyssey,test,63.499859734375,0.5,0.5,63.236424169921875,0.8000667258256468,1.5273329506141136
imagenet2dwarp,train,spair,test,52.96684799836971,,,63.299793566894536,1.1121311755608467,1.347377508796467
imagenet2dwarp,train,tss,val,60.66394897460938,0.5,18.440226440226347,63.21160148925781,0.7166803254697653,1.3015509554888702
pointodyssey,train,flyingthings,test,63.18838425031788,0.5,0.5,63.499678523437495,0.5,0.5
pointodyssey,train,kitti2012,val,63.49989995268202,0.5,0.5,62.134177140625006,0.9177036351306272,7.648531169355142
pointodyssey,train,kitti2015,val,63.49867899765427,0.5,0.5,62.76091494531251,0.5,2.492896882791907
pointodyssey,train,middlebury,val,63.49899673461914,0.5,0.5,52.114870226562495,24.612168151497514,40.70220598727204
pointodyssey,train,pfpascal,test,62.950652444076226,0.7563492063492067,1.5059999999999998,62.772435171874996,2.184499515187048,2.71507456569116
pointodyssey,train,pfwillow,test,62.102819444444435,0.9771784232365153,2.615999999999996,63.1811197265625,1.3059281084576293,1.4374205908680442
pointodyssey,train,pointodyssey,test,63.4968919453125,0.5,0.5,63.493086578125,0.5,0.5
pointodyssey,train,spair,test,49.10751545376324,,,63.410402687499996,0.7903253204049847,0.9544461987142768
pointodyssey,train,tss,val,60.16770523071289,0.8526097271648885,35.2920949355259,63.486054843750004,0.5,0.5
pointodyssey_synthetic_30_70,train,flyingthings,test,63.461395246213314,0.5,0.5,63.43045385937501,0.5,0.5
pointodyssey_synthetic_30_70,train,kitti2012,val,63.499819096830706,0.5,0.5,48.397506851562504,,
pointodyssey_synthetic_30_70,train,kitti2015,val,63.49907444135925,0.5,0.5,52.12455959375,54.9360630662431,
pointodyssey_synthetic_30_70,train,middlebury,val,63.49981943766276,0.5,0.5,26.2098003984375,,
pointodyssey_synthetic_30_70,train,pfpascal,test,63.48777961888981,0.5,0.6050271739130431,59.8392267578125,7.395541702818259,14.493217356158256
pointodyssey_synthetic_30_70,train,pfwillow,test,63.4755,0.5028195488721805,0.6437969924812026,61.31910475,3.9278560458289333,7.742144143179082
pointodyssey_synthetic_30_70,train,pointodyssey,test,63.499475101562496,0.5,0.5,61.744117429687506,0.9513337094978983,5.1347338781928
pointodyssey_synthetic_30_70,train,spair,test,62.815103930803375,0.817681929681112,1.8960912052117258,63.2749429453125,1.123595861107928,1.4048279105935189
pointodyssey_synthetic_30_70,train,tss,val,63.26544891357422,0.5,0.6924949334743149,61.94093007812499,0.8363019631973544,3.175291883217263
pointodyssey_synthetic_50_50,train,flyingthings,test,63.458485819382304,0.5,0.5,63.44658146875,0.5,0.5
pointodyssey_synthetic_50_50,train,kitti2012,val,63.49995595401096,0.5,0.5,51.93576597656251,55.961799017217444,
pointodyssey_synthetic_50_50,train,kitti2015,val,63.49968015582686,0.5,0.5,54.82730135937499,41.648160342563116,
pointodyssey_synthetic_50_50,train,middlebury,val,63.4993413289388,0.5,0.5,32.7017237578125,,
pointodyssey_synthetic_50_50,train,pfpascal,test,63.49078293289146,0.5,0.5268145161290327,60.56377382812501,5.7503783781402085,11.061398283099193
pointodyssey_synthetic_50_50,train,pfwillow,test,63.47281944444444,0.5,0.6091999999999999,61.7853787265625,3.049472685087535,5.7165128779615335
pointodyssey_synthetic_50_50,train,pointodyssey,test,63.4996844921875,0.5,0.5,62.176654125,0.6113330102015153,2.2352594821805285
pointodyssey_synthetic_50_50,train,spair,test,62.554205631283395,0.9388888888888899,2.620939334637956,63.3037543203125,0.9994325393649015,1.3321323464953474
pointodyssey_synthetic_50_50,train,tss,val,63.150656127929686,0.5,0.6794483738456306,62.361422968750006,0.551266444483424,1.5667221062316419
pointodyssey_synthetic_70_30,train,flyingthings,test,63.43868562013115,0.5,0.5,63.465748859375005,0.5,0.5
pointodyssey_synthetic_70_30,train,kitti2012,val,63.49995532478254,0.5,0.5,55.7186496328125,35.82972278844654,
pointodyssey_synthetic_70_30,train,kitti2015,val,63.49974657322932,0.5,0.5,57.721545093749995,21.894361696898187,54.65513258691808
pointodyssey_synthetic_70_30,train,middlebury,val,63.499970753987625,0.5,0.5,39.957458828125,,
pointodyssey_synthetic_70_30,train,pfpascal,test,63.49202568351284,0.5,0.5,61.389134890625,3.9255794080364077,7.190140630475516
pointodyssey_synthetic_70_30,train,pfwillow,test,63.46786111111111,0.5,0.5887423935091278,62.307496617187496,2.232119069787882,3.7979128360582397
