space,train_dataset,train_split,eval_dataset,eval_split,direction,epsilon_px,epsilon_norm,epsilon_sq,coverage
flow,flyingthings,train,pfpascal,test,eval_to_train,0.5,0.001953125,3.814697265625e-06,0.9685169842584921
flow,flyingthings,train,pfpascal,test,train_to_eval,0.5,0.001953125,3.814697265625e-06,0.09404442331150488
flow,flyingthings,train,pfpascal,test,eval_to_train,0.75,0.0029296875,8.58306884765625e-06,0.9871582435791217
flow,flyingthings,train,pfpascal,test,train_to_eval,0.75,0.0029296875,8.58306884765625e-06,0.19824427738721964
flow,flyingthings,train,pfpascal,test,eval_to_train,1.0,0.00390625,1.52587890625e-05,0.9933719966859983
flow,flyingthings,train,pfpascal,test,train_to_eval,1.0,0.00390625,1.52587890625e-05,0.3237626530131827
flow,flyingthings,train,pfpascal,test,eval_to_train,1.5,0.005859375,3.4332275390625e-05,0.9983429991714996
flow,flyingthings,train,pfpascal,test,train_to_eval,1.5,0.005859375,3.4332275390625e-05,0.5704003588587142
flow,flyingthings,train,pfpascal,test,eval_to_train,2.0,0.0078125,6.103515625e-05,0.9991714995857498
flow,flyingthings,train,pfpascal,test,train_to_eval,2.0,0.0078125,6.103515625e-05,0.7514633390312019
flow,flyingthings,train,pfpascal,test,eval_to_train,3.0,0.01171875,0.0001373291015625,0.9991714995857498
flow,flyingthings,train,pfpascal,test,train_to_eval,3.0,0.01171875,0.0001373291015625,0.9152590858264852
flow,flyingthings,train,pfpascal,test,eval_to_train,4.0,0.015625,0.000244140625,1.0
flow,flyingthings,train,pfpascal,test,train_to_eval,4.0,0.015625,0.000244140625,0.9572753488272556
flow,flyingthings,train,pfpascal,test,eval_to_train,6.0,0.0234375,0.00054931640625,1.0
flow,flyingthings,train,pfpascal,test,train_to_eval,6.0,0.0234375,0.00054931640625,0.9780917958718541
flow,flyingthings,train,pfpascal,test,eval_to_train,8.0,0.03125,0.0009765625,1.0
flow,flyingthings,train,pfpascal,test,train_to_eval,8.0,0.03125,0.0009765625,0.9850909117659647
flow,flyingthings,train,pfpascal,test,eval_to_train,12.0,0.046875,0.002197265625,1.0
flow,flyingthings,train,pfpascal,test,train_to_eval,12.0,0.046875,0.002197265625,0.9904530607986646
flow,flyingthings,train,pfpascal,test,eval_to_train,16.0,0.0625,0.00390625,1.0
flow,flyingthings,train,pfpascal,test,train_to_eval,16.0,0.0625,0.00390625,0.9928245812200394
flow,flyingthings,train,pfpascal,test,eval_to_train,24.0,0.09375,0.0087890625,1.0
flow,flyingthings,train,pfpascal,test,train_to_eval,24.0,0.09375,0.0087890625,0.9949778338201934
flow,flyingthings,train,pfpascal,test,eval_to_train,32.0,0.125,0.015625,1.0
flow,flyingthings,train,pfpascal,test,train_to_eval,32.0,0.125,0.015625,0.9959377608179251
flow,flyingthings,train,pfpascal,test,eval_to_train,48.0,0.1875,0.03515625,1.0
flow,flyingthings,train,pfpascal,test,train_to_eval,48.0,0.1875,0.03515625,0.9969189210698083
flow,flyingthings,train,pfpascal,test,eval_to_train,64.0,0.25,0.0625,1.0
flow,flyingthings,train,pfpascal,test,train_to_eval,64.0,0.25,0.0625,0.9975375276868259
flow,flyingthings,train,pfwillow,test,eval_to_train,0.5,0.001953125,3.814697265625e-06,0.9446666666666667
flow,flyingthings,train,pfwillow,test,train_to_eval,0.5,0.001953125,3.814697265625e-06,0.3390556953272128
flow,flyingthings,train,pfwillow,test,eval_to_train,0.75,0.0029296875,8.58306884765625e-06,0.9658888888888889
flow,flyingthings,train,pfwillow,test,train_to_eval,0.75,0.0029296875,8.58306884765625e-06,0.5787512974019859
flow,flyingthings,train,pfwillow,test,eval_to_train,1.0,0.00390625,1.52587890625e-05,0.977
flow,flyingthings,train,pfwillow,test,train_to_eval,1.0,0.00390625,1.52587890625e-05,0.7475976328432632
flow,flyingthings,train,pfwillow,test,eval_to_train,1.5,0.005859375,3.4332275390625e-05,0.9847777777777778
flow,flyingthings,train,pfwillow,test,train_to_eval,1.5,0.005859375,3.4332275390625e-05,0.8972612278772899
flow,flyingthings,train,pfwillow,test,eval_to_train,2.0,0.0078125,6.103515625e-05,0.9921111111111112
flow,flyingthings,train,pfwillow,test,train_to_eval,2.0,0.0078125,6.103515625e-05,0.945568552982152
flow,flyingthings,train,pfwillow,test,eval_to_train,3.0,0.01171875,0.0001373291015625,0.996
flow,flyingthings,train,pfwillow,test,train_to_eval,3.0,0.01171875,0.0001373291015625,0.9748031493430064
flow,flyingthings,train,pfwillow,test,eval_to_train,4.0,0.015625,0.000244140625,0.9978888888888889
flow,flyingthings,train,pfwillow,test,train_to_eval,4.0,0.015625,0.000244140625,0.9835286792715289
flow,flyingthings,train,pfwillow,test,eval_to_train,6.0,0.0234375,0.00054931640625,0.9993333333333333
flow,flyingthings,train,pfwillow,test,train_to_eval,6.0,0.0234375,0.00054931640625,0.9896558106221109
flow,flyingthings,train,pfwillow,test,eval_to_train,8.0,0.03125,0.0009765625,0.9995555555555555
flow,flyingthings,train,pfwillow,test,train_to_eval,8.0,0.03125,0.0009765625,0.9920300060991268
flow,flyingthings,train,pfwillow,test,eval_to_train,12.0,0.046875,0.002197265625,1.0
flow,flyingthings,train,pfwillow,test,train_to_eval,12.0,0.046875,0.002197265625,0.994199643415083
flow,flyingthings,train,pfwillow,test,eval_to_train,16.0,0.0625,0.00390625,1.0
flow,flyingthings,train,pfwillow,test,train_to_eval,16.0,0.0625,0.00390625,0.9952450885978429
flow,flyingthings,train,pfwillow,test,eval_to_train,24.0,0.09375,0.0087890625,1.0
flow,flyingthings,train,pfwillow,test,train_to_eval,24.0,0.09375,0.0087890625,0.9963593328678737
flow,flyingthings,train,pfwillow,test,eval_to_train,32.0,0.125,0.015625,1.0
flow,flyingthings,train,pfwillow,test,train_to_eval,32.0,0.125,0.015625,0.996892839277307
flow,flyingthings,train,pfwillow,test,eval_to_train,48.0,0.1875,0.03515625,1.0
flow,flyingthings,train,pfwillow,test,train_to_eval,48.0,0.1875,0.03515625,0.9975165452191406
flow,flyingthings,train,pfwillow,test,eval_to_train,64.0,0.25,0.0625,1.0
flow,flyingthings,train,pfwillow,test,train_to_eval,64.0,0.25,0.0625,0.9978671446991098
flow,flyingthings,train,pointodyssey,test,eval_to_train,0.5,0.001953125,3.814697265625e-06,0.9994386875
flow,flyingthings,train,pointodyssey,test,train_to_eval,0.5,0.001953125,3.814697265625e-06,0.9732377402199965
flow,flyingthings,train,pointodyssey,test,eval_to_train,0.75,0.0029296875,8.58306884765625e-06,0.9997945625
flow,flyingthings,train,pointodyssey,test,train_to_eval,0.75,0.0029296875,8.58306884765625e-06,0.9807815643190378
flow,flyingthings,train,pointodyssey,test,eval_to_train,1.0,0.00390625,1.52587890625e-05,0.999912
flow,flyingthings,train,pointodyssey,test,train_to_eval,1.0,0.00390625,1.52587890625e-05,0.9841668472329225
flow,flyingthings,train,pointodyssey,test,eval_to_train,1.5,0.005859375,3.4332275390625e-05,0.9999795625
flow,flyingthings,train,pointodyssey,test,train_to_eval,1.5,0.005859375,3.4332275390625e-05,0.9872294515600925
flow,flyingthings,train,pointodyssey,test,eval_to_train,2.0,0.0078125,6.103515625e-05,0.999993625
flow,flyingthings,train,pointodyssey,test,train_to_eval,2.0,0.0078125,6.103515625e-05,0.9887242224950779
flow,flyingthings,train,pointodyssey,test,eval_to_train,3.0,0.01171875,0.0001373291015625,0.9999995625
flow,flyingthings,train,pointodyssey,test,train_to_eval,3.0,0.01171875,0.0001373291015625,0.9903107812767505
flow,flyingthings,train,pointodyssey,test,eval_to_train,4.0,0.015625,0.000244140625,1.0
flow,flyingthings,train,pointodyssey,test,train_to_eval,4.0,0.015625,0.000244140625,0.9911572691961993
flow,flyingthings,train,pointodyssey,test,eval_to_train,6.0,0.0234375,0.00054931640625,1.0
flow,flyingthings,train,pointodyssey,test,train_to_eval,6.0,0.0234375,0.00054931640625,0.9921489624796695
flow,flyingthings,train,pointodyssey,test,eval_to_train,8.0,0.03125,0.0009765625,1.0
flow,flyingthings,train,pointodyssey,test,train_to_eval,8.0,0.03125,0.0009765625,0.9927052904575415
flow,flyingthings,train,pointodyssey,test,eval_to_train,12.0,0.046875,0.002197265625,1.0
flow,flyingthings,train,pointodyssey,test,train_to_eval,12.0,0.046875,0.002197265625,0.9934312336821606
flow,flyingthings,train,pointodyssey,test,eval_to_train,16.0,0.0625,0.00390625,1.0
flow,flyingthings,train,pointodyssey,test,train_to_eval,16.0,0.0625,0.00390625,0.9939808740209296
flow,flyingthings,train,pointodyssey,test,eval_to_train,24.0,0.09375,0.0087890625,1.0
flow,flyingthings,train,pointodyssey,test,train_to_eval,24.0,0.09375,0.0087890625,0.994838062162943
flow,flyingthings,train,pointodyssey,test,eval_to_train,32.0,0.125,0.015625,1.0
flow,flyingthings,train,pointodyssey,test,train_to_eval,32.0,0.125,0.015625,0.9955068260732324
flow,flyingthings,train,pointodyssey,test,eval_to_train,48.0,0.1875,0.03515625,1.0
flow,flyingthings,train,pointodyssey,test,train_to_eval,48.0,0.1875,0.03515625,0.9964675890258518
flow,flyingthings,train,pointodyssey,test,eval_to_train,64.0,0.25,0.0625,1.0
flow,flyingthings,train,pointodyssey,test,train_to_eval,64.0,0.25,0.0625,0.9970981497977658
flow,flyingthings,train,tss,val,eval_to_train,0.5,0.001953125,3.814697265625e-06,0.92497314453125
flow,flyingthings,train,tss,val,train_to_eval,0.5,0.001953125,3.814697265625e-06,0.9744517975036381
flow,flyingthings,train,tss,val,eval_to_train,0.75,0.0029296875,8.58306884765625e-06,0.93764404296875
flow,flyingthings,train,tss,val,train_to_eval,0.75,0.0029296875,8.58306884765625e-06,0.9816942598656052
flow,flyingthings,train,tss,val,eval_to_train,1.0,0.00390625,1.52587890625e-05,0.94636962890625
flow,flyingthings,train,tss,val,train_to_eval,1.0,0.00390625,1.52587890625e-05,0.9850267940260657
flow,flyingthings,train,tss,val,eval_to_train,1.5,0.005859375,3.4332275390625e-05,0.958505859375
flow,flyingthings,train,tss,val,train_to_eval,1.5,0.005859375,3.4332275390625e-05,0.9881809354134566
flow,flyingthings,train,tss,val,eval_to_train,2.0,0.0078125,6.103515625e-05,0.96689208984375
flow,flyingthings,train,tss,val,train_to_eval,2.0,0.0078125,6.103515625e-05,0.9896904191544684
flow,flyingthings,train,tss,val,eval_to_train,3.0,0.01171875,0.0001373291015625,0.976990966796875
flow,flyingthings,train,tss,val,train_to_eval,3.0,0.01171875,0.0001373291015625,0.9910611343840952
flow,flyingthings,train,tss,val,eval_to_train,4.0,0.015625,0.000244140625,0.98264892578125
flow,flyingthings,train,tss,val,train_to_eval,4.0,0.015625,0.000244140625,0.9916542443770331
flow,flyingthings,train,tss,val,eval_to_train,6.0,0.0234375,0.00054931640625,0.989085693359375
flow,flyingthings,train,tss,val,train_to_eval,6.0,0.0234375,0.00054931640625,0.9922944186301575
flow,flyingthings,train,tss,val,eval_to_train,8.0,0.03125,0.0009765625,0.992796630859375
flow,flyingthings,train,tss,val,train_to_eval,8.0,0.03125,0.0009765625,0.9927153219161958
flow,flyingthings,train,tss,val,eval_to_train,12.0,0.046875,0.002197265625,0.99611572265625
flow,flyingthings,train,tss,val,train_to_eval,12.0,0.046875,0.002197265625,0.9933885163873909
flow,flyingthings,train,tss,val,eval_to_train,16.0,0.0625,0.00390625,0.99787353515625
flow,flyingthings,train,tss,val,train_to_eval,16.0,0.0625,0.00390625,0.9939397450404468
flow,flyingthings,train,tss,val,eval_to_train,24.0,0.09375,0.0087890625,0.99948486328125
flow,flyingthings,train,tss,val,train_to_eval,24.0,0.09375,0.0087890625,0.9947938401493751
flow,flyingthings,train,tss,val,eval_to_train,32.0,0.125,0.015625,0.9999267578125
flow,flyingthings,train,tss,val,train_to_eval,32.0,0.125,0.015625,0.9954427919288221
flow,flyingthings,train,tss,val,eval_to_train,48.0,0.1875,0.03515625,1.0
flow,flyingthings,train,tss,val,train_to_eval,48.0,0.1875,0.03515625,0.9964673382393854
flow,flyingthings,train,tss,val,eval_to_train,64.0,0.25,0.0625,1.0
flow,flyingthings,train,tss,val,train_to_eval,64.0,0.25,0.0625,0.9971353497902756
flow,flyingthings,train,middlebury,val,eval_to_train,0.5,0.001953125,3.814697265625e-06,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,0.5,0.001953125,3.814697265625e-06,0.0054103000342407125
flow,flyingthings,train,middlebury,val,eval_to_train,0.75,0.0029296875,8.58306884765625e-06,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,0.75,0.0029296875,8.58306884765625e-06,0.008346257195899674
flow,flyingthings,train,middlebury,val,eval_to_train,1.0,0.00390625,1.52587890625e-05,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,1.0,0.00390625,1.52587890625e-05,0.011475737914098613
flow,flyingthings,train,middlebury,val,eval_to_train,1.5,0.005859375,3.4332275390625e-05,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,1.5,0.005859375,3.4332275390625e-05,0.01833399540960452
flow,flyingthings,train,middlebury,val,eval_to_train,2.0,0.0078125,6.103515625e-05,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,2.0,0.0078125,6.103515625e-05,0.026084634747902756
flow,flyingthings,train,middlebury,val,eval_to_train,3.0,0.01171875,0.0001373291015625,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,3.0,0.01171875,0.0001373291015625,0.044150372233992465
flow,flyingthings,train,middlebury,val,eval_to_train,4.0,0.015625,0.000244140625,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,4.0,0.015625,0.000244140625,0.06769997378445472
flow,flyingthings,train,middlebury,val,eval_to_train,6.0,0.0234375,0.00054931640625,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,6.0,0.0234375,0.00054931640625,0.1363290278312789
flow,flyingthings,train,middlebury,val,eval_to_train,8.0,0.03125,0.0009765625,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,8.0,0.03125,0.0009765625,0.22886605728899162
flow,flyingthings,train,middlebury,val,eval_to_train,12.0,0.046875,0.002197265625,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,12.0,0.046875,0.002197265625,0.40319023791944875
