space,representation,train_dataset,train_split,eval_dataset,eval_split,train_n_vectors,eval_n_vectors,mmd2,mmd
flow,flow,spair_synthetic_30_70,train,spair,test,16000000,88328,0.3263598680496216,0.5712791507219754
flow,flow,spair_synthetic_30_70,train,pfpascal,test,16000000,2414,0.014671513810753822,0.12112602449826305
flow,flow,spair_synthetic_30_70,train,pfwillow,test,16000000,9000,0.00781386811286211,0.08839608652458608
flow,flow,spair_synthetic_30_70,train,pointodyssey,test,16000000,16000000,4.509971618652344,2.1236693760216876
flow,flow,spair_synthetic_30_70,train,tss,val,16000000,819200,0.07806724309921265,0.2794051593997732
flow,flow,spair_synthetic_30_70,train,middlebury,val,16000000,98304,4.309687614440918,2.075978712424797
flow,flow,spair_synthetic_50_50,train,flyingthings,test,16000000,14319616,1.4855756759643555,1.218841940517455
flow,flow,spair_synthetic_50_50,train,kitti2015,val,16000000,408402,2.30326509475708,1.5176511769036651
flow,flow,spair_synthetic_50_50,train,kitti2012,val,16000000,397312,2.8581643104553223,1.690610632421115
flow,flow,spair_synthetic_50_50,train,spair,test,16000000,88328,0.3234376907348633,0.5687158259929675
flow,flow,spair_synthetic_50_50,train,pfpascal,test,16000000,2414,0.014683195389807224,0.1211742356683434
flow,flow,spair_synthetic_50_50,train,pfwillow,test,16000000,9000,0.007970534265041351,0.08927784868062935
flow,flow,spair_synthetic_50_50,train,pointodyssey,test,16000000,16000000,4.5169477462768555,2.125311211629218
flow,flow,spair_synthetic_50_50,train,tss,val,16000000,819200,0.0793205201625824,0.2816389890668236
flow,flow,spair_synthetic_50_50,train,middlebury,val,16000000,98304,4.310451507568359,2.076162688126429
flow,flow,spair_synthetic_70_30,train,flyingthings,test,16000000,14319616,1.482691764831543,1.2176583120200606
flow,flow,spair_synthetic_70_30,train,kitti2015,val,16000000,408402,2.2979726791381836,1.5159065535639666
flow,flow,spair_synthetic_70_30,train,kitti2012,val,16000000,397312,2.8552052974700928,1.689735274375869
flow,flow,spair_synthetic_70_30,train,spair,test,16000000,88328,0.3238909840583801,0.5691142100302716
flow,flow,spair_synthetic_70_30,train,pfpascal,test,16000000,2414,0.014588468708097935,0.12078273348495609
flow,flow,spair_synthetic_70_30,train,pfwillow,test,16000000,9000,0.007865121588110924,0.08868552073541049
flow,flow,spair_synthetic_70_30,train,pointodyssey,test,16000000,16000000,4.511407375335693,2.1240073858948074
flow,flow,spair_synthetic_70_30,train,tss,val,16000000,819200,0.07857918739318848,0.2803197948650585
flow,flow,spair_synthetic_70_30,train,middlebury,val,16000000,98304,4.318536758422852,2.0781089380547044
flow,flow,pointodyssey_synthetic_30_70,train,flyingthings,test,16000000,14319616,0.5976290702819824,0.7730647258037211
flow,flow,pointodyssey_synthetic_30_70,train,kitti2015,val,16000000,408402,1.0578315258026123,1.0285093707898885
flow,flow,pointodyssey_synthetic_30_70,train,kitti2012,val,16000000,397312,1.5796642303466797,1.256846939904251
flow,flow,pointodyssey_synthetic_30_70,train,spair,test,16000000,88328,0.9343327879905701,0.9666089116031209
flow,flow,pointodyssey_synthetic_30_70,train,pfpascal,test,16000000,2414,0.33601537346839905,0.5796683305722325
flow,flow,pointodyssey_synthetic_30_70,train,pfwillow,test,16000000,9000,0.3061894178390503,0.5533438513610234
flow,flow,pointodyssey_synthetic_30_70,train,pointodyssey,test,16000000,16000000,2.42976713180542,1.5587710325142112
flow,flow,pointodyssey_synthetic_30_70,train,tss,val,16000000,819200,0.24465502798557281,0.49462614971872726
flow,flow,pointodyssey_synthetic_30_70,train,middlebury,val,16000000,98304,3.9268250465393066,1.9816218222807567
flow,flow,pointodyssey_synthetic_50_50,train,flyingthings,test,16000000,14319616,0.3623296916484833,0.6019382789360411
flow,flow,pointodyssey_synthetic_50_50,train,kitti2015,val,16000000,408402,0.5615472793579102,0.7493645837360544
flow,flow,pointodyssey_synthetic_50_50,train,kitti2012,val,16000000,397312,1.0626672506332397,1.0308575316857513
flow,flow,pointodyssey_synthetic_50_50,train,spair,test,16000000,88328,1.8041017055511475,1.3431685320730036
flow,flow,pointodyssey_synthetic_50_50,train,pfpascal,test,16000000,2414,0.9926694631576538,0.9963279897491859
flow,flow,pointodyssey_synthetic_50_50,train,pfwillow,test,16000000,9000,0.9457716345787048,0.9725079097769359
flow,flow,pointodyssey_synthetic_50_50,train,pointodyssey,test,16000000,16000000,1.3078515529632568,1.1436133756489808
flow,flow,pointodyssey_synthetic_50_50,train,tss,val,16000000,819200,0.7863137722015381,0.8867433519353489
flow,flow,pointodyssey_synthetic_50_50,train,middlebury,val,16000000,98304,4.0853190422058105,2.021217217966889
flow,flow,pointodyssey_synthetic_70_30,train,flyingthings,test,16000000,14319616,0.5079017877578735,0.712672286368618
flow,flow,pointodyssey_synthetic_70_30,train,kitti2015,val,16000000,408402,0.42418402433395386,0.6512941150770164
flow,flow,pointodyssey_synthetic_70_30,train,kitti2012,val,16000000,397312,0.9011538028717041,0.9492912107839744
flow,flow,pointodyssey_synthetic_70_30,train,spair,test,16000000,88328,3.1585755348205566,1.7772381761656362
flow,flow,pointodyssey_synthetic_70_30,train,pfpascal,test,16000000,2414,2.1114330291748047,1.4530770898939962
flow,flow,pointodyssey_synthetic_70_30,train,pfwillow,test,16000000,9000,2.0466060638427734,1.430596401450379
flow,flow,pointodyssey_synthetic_70_30,train,pointodyssey,test,16000000,16000000,0.49184757471084595,0.7013184545631506
flow,flow,pointodyssey_synthetic_70_30,train,tss,val,16000000,819200,1.7782258987426758,1.3335013681067882
flow,flow,pointodyssey_synthetic_70_30,train,middlebury,val,16000000,98304,4.647022247314453,2.1556953048412137
flow,flow,flyingthings_synthetic_30_70,train,flyingthings,test,16000000,14319616,0.7395421266555786,0.8599663520484848
flow,flow,flyingthings_synthetic_30_70,train,kitti2015,val,16000000,408402,1.4137184619903564,1.1889989327120343
flow,flow,flyingthings_synthetic_30_70,train,kitti2012,val,16000000,397312,1.8740994930267334,1.3689775356180003
flow,flow,flyingthings_synthetic_30_70,train,spair,test,16000000,88328,0.709206223487854,0.8421438258919043
flow,flow,flyingthings_synthetic_30_70,train,pfpascal,test,16000000,2414,0.13297899067401886,0.36466284520638903
flow,flow,flyingthings_synthetic_30_70,train,pfwillow,test,16000000,9000,0.11576123535633087,0.3402370281970069
flow,flow,flyingthings_synthetic_30_70,train,pointodyssey,test,16000000,16000000,3.2596137523651123,1.805440043968537
flow,flow,flyingthings_synthetic_30_70,train,tss,val,16000000,819200,0.0649777501821518,0.25490733646200103
flow,flow,flyingthings_synthetic_30_70,train,middlebury,val,16000000,98304,3.8475847244262695,1.9615261212704431
flow,flow,flyingthings_synthetic_70_30,train,flyingthings,test,16000000,14319616,0.14021098613739014,0.3744475746181168
flow,flow,flyingthings_synthetic_70_30,train,kitti2015,val,16000000,408402,0.6249077916145325,0.7905110951874948
flow,flow,flyingthings_synthetic_70_30,train,kitti2012,val,16000000,397312,0.9452234506607056,0.9722260285863085
flow,flow,flyingthings_synthetic_70_30,train,spair,test,16000000,88328,1.6395128965377808,1.2804346514124727
flow,flow,flyingthings_synthetic_70_30,train,pfpascal,test,16000000,2414,0.7049429416656494,0.8396088027561701
flow,flow,flyingthings_synthetic_70_30,train,pfwillow,test,16000000,9000,0.6732673645019531,0.8205287103459288
flow,flow,flyingthings_synthetic_70_30,train,pointodyssey,test,16000000,16000000,1.9684555530548096,1.4030165904417558
flow,flow,flyingthings_synthetic_70_30,train,tss,val,16000000,819200,0.4592953324317932,0.6777133113874872
flow,flow,flyingthings_synthetic_70_30,train,middlebury,val,16000000,98304,3.6194796562194824,1.9024930108201403
flow,flow,sintel_synthetic_30_70,train,flyingthings,test,16000000,14319616,0.4868229627609253,0.69772699729975
flow,flow,sintel_synthetic_30_70,train,kitti2015,val,16000000,408402,0.9009486436843872,0.9491831454911045
flow,flow,sintel_synthetic_30_70,train,kitti2012,val,16000000,397312,1.3841042518615723,1.1764796011242915
flow,flow,sintel_synthetic_30_70,train,spair,test,16000000,88328,1.0677297115325928,1.0333100752110147
flow,flow,sintel_synthetic_30_70,train,pfpascal,test,16000000,2414,0.4132862091064453,0.6428734005280086
flow,flow,sintel_synthetic_30_70,train,pfwillow,test,16000000,9000,0.38037586212158203,0.616746189385538
flow,flow,sintel_synthetic_30_70,train,pointodyssey,test,16000000,16000000,2.230762004852295,1.4935735686106308
flow,flow,sintel_synthetic_30_70,train,tss,val,16000000,819200,0.2901005744934082,0.5386098536913414
flow,flow,sintel_synthetic_30_70,train,middlebury,val,16000000,98304,3.924988269805908,1.9811583151797607
flow,flow,sintel_synthetic_70_30,train,flyingthings,test,16000000,14319616,0.423565536737442,0.6508191275135067
flow,flow,sintel_synthetic_70_30,train,kitti2015,val,16000000,408402,0.3105568289756775,0.5572762591172151
flow,flow,sintel_synthetic_70_30,train,kitti2012,val,16000000,397312,0.7036406993865967,0.8388329389017796
flow,flow,sintel_synthetic_70_30,train,spair,test,16000000,88328,3.238112449645996,1.799475604070807
flow,flow,sintel_synthetic_70_30,train,pfpascal,test,16000000,2414,2.151308536529541,1.4667339692423915
flow,flow,sintel_synthetic_70_30,train,pfwillow,test,16000000,9000,2.083164691925049,1.4433172526943094
flow,flow,sintel_synthetic_70_30,train,pointodyssey,test,16000000,16000000,0.4739360213279724,0.6884301136121025
flow,flow,sintel_synthetic_70_30,train,tss,val,16000000,819200,1.7884976863861084,1.337347257217103
flow,flow,sintel_synthetic_70_30,train,middlebury,val,16000000,98304,4.687758445739746,2.1651231941253934
