space,train_dataset,train_split,eval_dataset,eval_split,train_n_vectors,eval_n_vectors,distance_metric,flow_normalized,mean_nn_eval_to_train_k1,median_nn_eval_to_train_k1,p90_nn_eval_to_train_k1,p95_nn_eval_to_train_k1,mean_nn_train_to_eval_k1,median_nn_train_to_eval_k1,p90_nn_train_to_eval_k1,p95_nn_train_to_eval_k1,eval_covered_by_train_eps1px,train_covered_by_eval_eps1px,eval_covered_by_train_eps2px,train_covered_by_eval_eps2px,eval_covered_by_train_eps4px,train_covered_by_eval_eps4px,eval_covered_by_train_eps8px,train_covered_by_eval_eps8px,eval_covered_by_train_eps16px,train_covered_by_eval_eps16px,eval_covered_by_train_eps32px,train_covered_by_eval_eps32px,eval_covered_by_train_eps64px,train_covered_by_eval_eps64px
joint,imagenet2dwarp,train,kitti2015,val,10240000,408402,sqL2,False,42.89703369140625,10.275979042053223,36.48008880615235,65.04490737915036,8527.705078125,4385.908203125,23114.399023437498,32670.332128906248,0.008146385179308623,0.00026875,0.14909574389939326,0.00229326171875,0.6881626436697176,0.00960400390625,0.9492509830999848,0.02931015625,0.9797381011846171,0.0781125,0.9917875034892092,0.2001373046875,0.9989373215606192,0.482058203125
joint,imagenet2dwarp,train,kitti2012,val,10240000,397312,sqL2,False,26.370689392089844,10.867288589477539,33.938204574584965,53.31676406860345,8945.28515625,5525.62548828125,22284.259765624993,30003.90302734369,0.006976884664948454,0.00024150390625,0.13080400289948454,0.00252333984375,0.6734078004188144,0.01098857421875,0.9595607482280928,0.02864638671875,0.9852785720038659,0.06729921875,0.9976869563466495,0.16864990234375,0.9999345602448454,0.42018720703125
joint,imagenet2dwarp,train,pfpascal,test,10240000,2414,sqL2,False,296.3973693847656,18.997743606567383,324.37106323242307,1252.9542053222633,1268.658447265625,880.1796875,2688.063281249997,3716.1018554687435,0.0016570008285004142,3.90625e-07,0.06669428334714167,2.03125e-05,0.43496271748135873,0.00033447265625,0.8069594034797017,0.005383984375,0.8947804473902237,0.0791494140625,0.9420049710024855,0.57300830078125,0.9842584921292461,0.9607658203125
joint,imagenet2dwarp,train,pfwillow,test,10240000,9000,sqL2,False,656.9300537109375,19.196067810058594,1137.3469482421876,3460.352783203125,1375.0203857421875,647.015625,3356.5707031249985,5230.766015624991,0.0034444444444444444,2.734375e-06,0.08033333333333334,7.7734375e-05,0.44566666666666666,0.001262890625,0.7342222222222222,0.0181484375,0.823,0.1876197265625,0.8963333333333333,0.64828193359375,0.9573333333333334,0.92530888671875
joint,sintel,train,flyingthings,test,2131968,14319616,sqL2,False,338.240478515625,16.138935089111328,223.25306701660156,658.3589172363281,5.39570951461792,1.476179838180542,8.137792110443115,16.366425704956026,0.031957700541690504,0.23579997448366954,0.19197134895237414,0.8193317160482709,0.497977878736413,0.9487243710975024,0.7778868511557852,0.9915430250360231,0.9081419501752003,0.9983175169608549,0.9634564921293979,0.9996880816222382,0.9888176470653962,0.9999915570965417
joint,sintel,train,spair,test,2131968,88328,sqL2,False,11093.1259765625,2455.453857421875,33934.077734375,53802.86562499993,411.05108642578125,256.625,887.0625,1221.7757812499985,0.00027171451861244454,1.6416756724303553e-05,0.0028530024454306675,0.00036257579851104707,0.018374694321166563,0.0049461342759365996,0.08408432207227606,0.06697286263208453,0.2105221447332669,0.4988147101645053,0.3777850738157776,0.9256644565021613,0.5791028892310479,0.9977269827689721
joint,sintel,train,tss,val,2131968,819200,sqL2,False,3523.9873046875,96.72572326660156,3907.8388671874973,22919.960644531242,251.2570343017578,44.922462463378906,648.6153503417972,1125.615588378906,0.002347412109375,0.001191387487992315,0.02302490234375,0.023384497328290104,0.127730712890625,0.211284597142171,0.405833740234375,0.5780743425792507,0.678045654296875,0.7854545659221902,0.8316015625,0.9428209053794429,0.901666259765625,0.9954703822946686
joint,sintel,train,kitti2015,val,2131968,408402,sqL2,False,55.80249786376953,11.121551513671875,131.54240417480474,241.89191284179594,3490.448974609375,61.34169387817383,14003.428125000002,21010.344628906238,0.12116982776773864,0.028016837025696444,0.32142349939520376,0.14812558162223824,0.5613758012938233,0.3439770202929875,0.8058750936577196,0.5036642201008645,0.953592293867317,0.6019930880763689,0.99470864491359,0.6904310946505764,0.9999461315076812,0.7813461552893852
joint,sintel,train,kitti2012,val,2131968,397312,sqL2,False,18.058198928833008,7.853995323181152,44.47075996398929,65.28368797302228,2511.524169921875,55.47572326660156,9980.968847656253,15379.189160156246,0.06885269007731959,0.01686423060758886,0.31521071601159795,0.10615356328049952,0.6826121536726805,0.3002582590357829,0.9480886557667526,0.5171057914565321,0.9983791076030928,0.6319438190441883,0.999901840367268,0.723117795389049,0.9999899323453608,0.8170746465237753
joint,sintel,train,pfpascal,test,2131968,2414,sqL2,False,1007.2008056640625,172.9493408203125,2348.0900390625,4711.2821289062485,724.7948608398438,554.455078125,1310.2601562500004,1741.4035156249993,0.0012427506213753107,1.407150576368876e-06,0.011184755592377795,3.4709714217098945e-05,0.08657829328914664,0.0005727102845821325,0.3028169014084507,0.01084209519092219,0.5853355426677713,0.15688509396013448,0.8069594034797017,0.8228636639949568,0.9391052195526097,0.9943029163664745
joint,sintel,train,pfwillow,test,2131968,9000,sqL2,False,1773.6759033203125,186.279052734375,3752.125463867188,8470.493261718742,1269.877685546875,615.34375,3266.5625,4401.34501953125,0.0017777777777777779,8.442903458213257e-06,0.01888888888888889,0.0001894962776176753,0.10444444444444445,0.0027050124579731027,0.30977777777777776,0.03278051077689721,0.5545555555555556,0.24604403067963496,0.7586666666666667,0.6368608722082133,0.9072222222222223,0.9400577306976465
