train_dataset,train_split,eval_dataset,eval_split,eval_to_train_auc_weighted,train_to_eval_auc_weighted,eval_to_train_eps_at90_weighted,train_to_eval_eps_at90_weighted,eval_to_train_eps_at95_weighted,train_to_eval_eps_at95_weighted
flyingthings_synthetic_70_30,train,middlebury,val,63.263945261637375,34.3432888515625,1.3224858174316658,,1.5896709323583176,
flyingthings_synthetic_70_30,train,pfpascal,test,62.049813587406796,61.13282796093749,3.9424657534246585,4.326383505568602,5.627536231884054,7.430311923978591
flyingthings_synthetic_70_30,train,pfwillow,test,61.51144444444444,62.22985284375,5.017892644135191,2.4672377132650634,7.670781893004113,3.9499575596488286
flyingthings_synthetic_70_30,train,pointodyssey,test,63.435642468750004,60.1997002734375,0.5,8.721855473809434,0.8302472068947083,15.905673436931565
flyingthings_synthetic_70_30,train,spair,test,54.74414681641156,62.4655566875,24.670936845255916,2.5087432298498435,38.5055788842231,2.8699684153728406
flyingthings_synthetic_70_30,train,tss,val,60.838170623779305,61.932102671875,4.627448963850467,2.427397743173586,14.566680178354257,5.457143260031163
imagenet2dwarp,train,flyingthings,test,62.87047858860182,60.937561010742186,1.3253220296429367,6.999347131386945,1.4707580793313983,9.611458510370205
imagenet2dwarp,train,kitti2012,val,63.23936761285841,39.948681030273434,1.1081088046947798,,1.30503578580067,
imagenet2dwarp,train,kitti2015,val,63.21586145513489,46.49557883300781,1.181773507160227,57.59694007249146,1.3541939678465278,
imagenet2dwarp,train,middlebury,val,63.25487645467122,14.71020693359375,1.1739970900020786,,1.3442735398046142,
imagenet2dwarp,train,pfpascal,test,62.326584507042256,60.662455700683594,2.2111111111111117,6.725673414333253,3.4176470588235293,9.376707994468788
imagenet2dwarp,train,pfwillow,test,61.33345833333333,62.13118908691406,2.80508474576271,3.64290983806458,6.0,5.075531906653964
imagenet2dwarp,train,pointodyssey,test,63.2555812265625,57.749359973144536,0.9925770137901923,14.608672020519712,1.2380251749499214,20.21308021178297
imagenet2dwarp,train,spair,test,48.087204793496966,62.342614648437504,,2.7607723130334763,,2.976023082281708
imagenet2dwarp,train,tss,val,59.562013702392576,61.78930013427735,2.4338322641957717,4.608768906758568,39.64751812604575,7.136497404890575
pointodyssey,train,flyingthings,test,62.271884525395095,63.38414740625,2.9355898126986117,0.5053947823161221,5.7639566388486445,0.9629326890618514
pointodyssey,train,kitti2012,val,63.358696691768685,61.875115601562506,0.9256237960847558,2.382869741231032,1.3535935828877,9.958126223828884
pointodyssey,train,kitti2015,val,63.112932233436666,62.5762382734375,1.6452114111054514,0.9589796783034208,2.659432755189081,4.242222627619718
pointodyssey,train,middlebury,val,62.995582580566406,52.109802437499994,1.9140572703607293,24.64898011327344,2.939453860640301,40.684106497582015
pointodyssey,train,pfpascal,test,58.620495028997524,62.77955128125001,12.26352941176471,2.1776309411102543,20.235897435897446,2.6981745187411947
pointodyssey,train,pfwillow,test,57.69275,63.1811047734375,14.45614035087719,1.3063677124124764,23.06865671641789,1.4383854886060408
pointodyssey,train,pointodyssey,test,63.31842617968749,63.252036437499996,0.6164362190169068,0.7303457231277506,1.2362363390071522,1.501926168751175
pointodyssey,train,spair,test,39.872572966669686,62.884440234375,,1.8068072161591688,,1.9889644588449862
pointodyssey,train,tss,val,57.38579269409179,63.402691015624995,13.075073123171927,0.7044975669908322,55.46106067845192,0.7652935937961528
pointodyssey_synthetic_30_70,train,flyingthings,test,63.13785615829362,60.82234624218749,1.3294173631395443,7.549565920042571,1.8144491497756656,12.663801773795356
pointodyssey_synthetic_30_70,train,kitti2012,val,63.39835286877819,45.836667625000004,0.8750998887315398,,1.002971857003152,
pointodyssey_synthetic_30_70,train,kitti2015,val,63.339762354249004,50.22579973437501,1.058234905307929,60.76152405445448,1.3516524413024114,
pointodyssey_synthetic_30_70,train,middlebury,val,63.2285893758138,26.10353290625,1.2901044723559105,,1.4343467543138866,
pointodyssey_synthetic_30_70,train,pfpascal,test,62.47706089478045,59.846908375,2.8651851851851866,7.381685446172846,3.787850467289717,14.599922435686251
pointodyssey_synthetic_30_70,train,pfwillow,test,62.09888888888889,61.326971734375,3.275862068965518,3.933792445223344,5.282608695652175,7.74719150395063
pointodyssey_synthetic_30_70,train,pointodyssey,test,63.42660978125,57.54312821875,0.691230876912309,15.908686802789923,0.9414365412292516,29.695615619238616
