space,train_dataset,train_split,eval_dataset,eval_split,direction,epsilon_px,epsilon_norm,epsilon_sq,coverage
joint,imagenet2dwarp,train,spair,test,eval_to_train,8.0,,64.0,0.3518816230413912
joint,imagenet2dwarp,train,spair,test,train_to_eval,8.0,,64.0,0.07709560546875
joint,imagenet2dwarp,train,spair,test,eval_to_train,16.0,,256.0,0.43708676750294356
joint,imagenet2dwarp,train,spair,test,train_to_eval,16.0,,256.0,0.59112939453125
joint,imagenet2dwarp,train,spair,test,eval_to_train,32.0,,1024.0,0.5274884521329589
joint,imagenet2dwarp,train,spair,test,train_to_eval,32.0,,1024.0,0.9754607421875
joint,imagenet2dwarp,train,spair,test,eval_to_train,64.0,,4096.0,0.6687573589348791
joint,imagenet2dwarp,train,spair,test,train_to_eval,64.0,,4096.0,0.999996484375
joint,imagenet2dwarp,train,tss,val,eval_to_train,1.0,,1.0,0.004794921875
joint,imagenet2dwarp,train,tss,val,train_to_eval,1.0,,1.0,0.0003943359375
joint,imagenet2dwarp,train,tss,val,eval_to_train,2.0,,4.0,0.092015380859375
joint,imagenet2dwarp,train,tss,val,train_to_eval,2.0,,4.0,0.008259765625
joint,imagenet2dwarp,train,tss,val,eval_to_train,4.0,,16.0,0.5036669921875
joint,imagenet2dwarp,train,tss,val,train_to_eval,4.0,,16.0,0.08597392578125
joint,imagenet2dwarp,train,tss,val,eval_to_train,8.0,,64.0,0.7937255859375
joint,imagenet2dwarp,train,tss,val,train_to_eval,8.0,,64.0,0.333841796875
joint,imagenet2dwarp,train,tss,val,eval_to_train,16.0,,256.0,0.850404052734375
joint,imagenet2dwarp,train,tss,val,train_to_eval,16.0,,256.0,0.5878828125
joint,imagenet2dwarp,train,tss,val,eval_to_train,32.0,,1024.0,0.886053466796875
joint,imagenet2dwarp,train,tss,val,train_to_eval,32.0,,1024.0,0.80456298828125
joint,imagenet2dwarp,train,tss,val,eval_to_train,64.0,,4096.0,0.9173095703125
joint,imagenet2dwarp,train,tss,val,train_to_eval,64.0,,4096.0,0.962707421875
joint,imagenet2dwarp,train,kitti2015,val,eval_to_train,1.0,,1.0,0.008146385179308623
joint,imagenet2dwarp,train,kitti2015,val,train_to_eval,1.0,,1.0,0.00026875
joint,imagenet2dwarp,train,kitti2015,val,eval_to_train,2.0,,4.0,0.14909574389939326
joint,imagenet2dwarp,train,kitti2015,val,train_to_eval,2.0,,4.0,0.00229326171875
joint,imagenet2dwarp,train,kitti2015,val,eval_to_train,4.0,,16.0,0.6881626436697176
joint,imagenet2dwarp,train,kitti2015,val,train_to_eval,4.0,,16.0,0.00960400390625
joint,imagenet2dwarp,train,kitti2015,val,eval_to_train,8.0,,64.0,0.9492509830999848
joint,imagenet2dwarp,train,kitti2015,val,train_to_eval,8.0,,64.0,0.02931015625
joint,imagenet2dwarp,train,kitti2015,val,eval_to_train,16.0,,256.0,0.9797381011846171
joint,imagenet2dwarp,train,kitti2015,val,train_to_eval,16.0,,256.0,0.0781125
joint,imagenet2dwarp,train,kitti2015,val,eval_to_train,32.0,,1024.0,0.9917875034892092
joint,imagenet2dwarp,train,kitti2015,val,train_to_eval,32.0,,1024.0,0.2001373046875
joint,imagenet2dwarp,train,kitti2015,val,eval_to_train,64.0,,4096.0,0.9989373215606192
joint,imagenet2dwarp,train,kitti2015,val,train_to_eval,64.0,,4096.0,0.482058203125
joint,imagenet2dwarp,train,kitti2012,val,eval_to_train,1.0,,1.0,0.006976884664948454
joint,imagenet2dwarp,train,kitti2012,val,train_to_eval,1.0,,1.0,0.00024150390625
joint,imagenet2dwarp,train,kitti2012,val,eval_to_train,2.0,,4.0,0.13080400289948454
joint,imagenet2dwarp,train,kitti2012,val,train_to_eval,2.0,,4.0,0.00252333984375
joint,imagenet2dwarp,train,kitti2012,val,eval_to_train,4.0,,16.0,0.6734078004188144
joint,imagenet2dwarp,train,kitti2012,val,train_to_eval,4.0,,16.0,0.01098857421875
joint,imagenet2dwarp,train,kitti2012,val,eval_to_train,8.0,,64.0,0.9595607482280928
joint,imagenet2dwarp,train,kitti2012,val,train_to_eval,8.0,,64.0,0.02864638671875
joint,imagenet2dwarp,train,kitti2012,val,eval_to_train,16.0,,256.0,0.9852785720038659
joint,imagenet2dwarp,train,kitti2012,val,train_to_eval,16.0,,256.0,0.06729921875
joint,imagenet2dwarp,train,kitti2012,val,eval_to_train,32.0,,1024.0,0.9976869563466495
joint,imagenet2dwarp,train,kitti2012,val,train_to_eval,32.0,,1024.0,0.16864990234375
joint,imagenet2dwarp,train,kitti2012,val,eval_to_train,64.0,,4096.0,0.9999345602448454
joint,imagenet2dwarp,train,kitti2012,val,train_to_eval,64.0,,4096.0,0.42018720703125
joint,imagenet2dwarp,train,pfpascal,test,eval_to_train,1.0,,1.0,0.0016570008285004142
joint,imagenet2dwarp,train,pfpascal,test,train_to_eval,1.0,,1.0,3.90625e-07
joint,imagenet2dwarp,train,pfpascal,test,eval_to_train,2.0,,4.0,0.06669428334714167
joint,imagenet2dwarp,train,pfpascal,test,train_to_eval,2.0,,4.0,2.03125e-05
joint,imagenet2dwarp,train,pfpascal,test,eval_to_train,4.0,,16.0,0.43496271748135873
joint,imagenet2dwarp,train,pfpascal,test,train_to_eval,4.0,,16.0,0.00033447265625
joint,imagenet2dwarp,train,pfpascal,test,eval_to_train,8.0,,64.0,0.8069594034797017
joint,imagenet2dwarp,train,pfpascal,test,train_to_eval,8.0,,64.0,0.005383984375
joint,imagenet2dwarp,train,pfpascal,test,eval_to_train,16.0,,256.0,0.8947804473902237
joint,imagenet2dwarp,train,pfpascal,test,train_to_eval,16.0,,256.0,0.0791494140625
joint,imagenet2dwarp,train,pfpascal,test,eval_to_train,32.0,,1024.0,0.9420049710024855
joint,imagenet2dwarp,train,pfpascal,test,train_to_eval,32.0,,1024.0,0.57300830078125
joint,imagenet2dwarp,train,pfpascal,test,eval_to_train,64.0,,4096.0,0.9842584921292461
joint,imagenet2dwarp,train,pfpascal,test,train_to_eval,64.0,,4096.0,0.9607658203125
joint,imagenet2dwarp,train,pfwillow,test,eval_to_train,1.0,,1.0,0.0034444444444444444
joint,imagenet2dwarp,train,pfwillow,test,train_to_eval,1.0,,1.0,2.734375e-06
joint,imagenet2dwarp,train,pfwillow,test,eval_to_train,2.0,,4.0,0.08033333333333334
joint,imagenet2dwarp,train,pfwillow,test,train_to_eval,2.0,,4.0,7.7734375e-05
joint,imagenet2dwarp,train,pfwillow,test,eval_to_train,4.0,,16.0,0.44566666666666666
joint,imagenet2dwarp,train,pfwillow,test,train_to_eval,4.0,,16.0,0.001262890625
joint,imagenet2dwarp,train,pfwillow,test,eval_to_train,8.0,,64.0,0.7342222222222222
joint,imagenet2dwarp,train,pfwillow,test,train_to_eval,8.0,,64.0,0.0181484375
joint,imagenet2dwarp,train,pfwillow,test,eval_to_train,16.0,,256.0,0.823
joint,imagenet2dwarp,train,pfwillow,test,train_to_eval,16.0,,256.0,0.1876197265625
joint,imagenet2dwarp,train,pfwillow,test,eval_to_train,32.0,,1024.0,0.8963333333333333
joint,imagenet2dwarp,train,pfwillow,test,train_to_eval,32.0,,1024.0,0.64828193359375
joint,imagenet2dwarp,train,pfwillow,test,eval_to_train,64.0,,4096.0,0.9573333333333334
joint,imagenet2dwarp,train,pfwillow,test,train_to_eval,64.0,,4096.0,0.92530888671875
joint,sintel,train,flyingthings,test,eval_to_train,1.0,,1.0,0.031957700541690504
joint,sintel,train,flyingthings,test,train_to_eval,1.0,,1.0,0.23579997448366954
joint,sintel,train,flyingthings,test,eval_to_train,2.0,,4.0,0.19197134895237414
joint,sintel,train,flyingthings,test,train_to_eval,2.0,,4.0,0.8193317160482709
joint,sintel,train,flyingthings,test,eval_to_train,4.0,,16.0,0.497977878736413
joint,sintel,train,flyingthings,test,train_to_eval,4.0,,16.0,0.9487243710975024
joint,sintel,train,flyingthings,test,eval_to_train,8.0,,64.0,0.7778868511557852
joint,sintel,train,flyingthings,test,train_to_eval,8.0,,64.0,0.9915430250360231
joint,sintel,train,flyingthings,test,eval_to_train,16.0,,256.0,0.9081419501752003
joint,sintel,train,flyingthings,test,train_to_eval,16.0,,256.0,0.9983175169608549
joint,sintel,train,flyingthings,test,eval_to_train,32.0,,1024.0,0.9634564921293979
joint,sintel,train,flyingthings,test,train_to_eval,32.0,,1024.0,0.9996880816222382
joint,sintel,train,flyingthings,test,eval_to_train,64.0,,4096.0,0.9888176470653962
joint,sintel,train,flyingthings,test,train_to_eval,64.0,,4096.0,0.9999915570965417
joint,sintel,train,spair,test,eval_to_train,1.0,,1.0,0.00027171451861244454
joint,sintel,train,spair,test,train_to_eval,1.0,,1.0,1.6416756724303553e-05
joint,sintel,train,spair,test,eval_to_train,2.0,,4.0,0.0028530024454306675
joint,sintel,train,spair,test,train_to_eval,2.0,,4.0,0.00036257579851104707
joint,sintel,train,spair,test,eval_to_train,4.0,,16.0,0.018374694321166563
joint,sintel,train,spair,test,train_to_eval,4.0,,16.0,0.0049461342759365996
joint,sintel,train,spair,test,eval_to_train,8.0,,64.0,0.08408432207227606
joint,sintel,train,spair,test,train_to_eval,8.0,,64.0,0.06697286263208453
joint,sintel,train,spair,test,eval_to_train,16.0,,256.0,0.2105221447332669
joint,sintel,train,spair,test,train_to_eval,16.0,,256.0,0.4988147101645053
joint,sintel,train,spair,test,eval_to_train,32.0,,1024.0,0.3777850738157776
joint,sintel,train,spair,test,train_to_eval,32.0,,1024.0,0.9256644565021613
joint,sintel,train,spair,test,eval_to_train,64.0,,4096.0,0.5791028892310479
joint,sintel,train,spair,test,train_to_eval,64.0,,4096.0,0.9977269827689721
joint,sintel,train,tss,val,eval_to_train,1.0,,1.0,0.002347412109375
joint,sintel,train,tss,val,train_to_eval,1.0,,1.0,0.001191387487992315
joint,sintel,train,tss,val,eval_to_train,2.0,,4.0,0.02302490234375
joint,sintel,train,tss,val,train_to_eval,2.0,,4.0,0.023384497328290104
joint,sintel,train,tss,val,eval_to_train,4.0,,16.0,0.127730712890625
joint,sintel,train,tss,val,train_to_eval,4.0,,16.0,0.211284597142171
joint,sintel,train,tss,val,eval_to_train,8.0,,64.0,0.405833740234375
joint,sintel,train,tss,val,train_to_eval,8.0,,64.0,0.5780743425792507
joint,sintel,train,tss,val,eval_to_train,16.0,,256.0,0.678045654296875
joint,sintel,train,tss,val,train_to_eval,16.0,,256.0,0.7854545659221902
joint,sintel,train,tss,val,eval_to_train,32.0,,1024.0,0.8316015625
joint,sintel,train,tss,val,train_to_eval,32.0,,1024.0,0.9428209053794429
joint,sintel,train,tss,val,eval_to_train,64.0,,4096.0,0.901666259765625
joint,sintel,train,tss,val,train_to_eval,64.0,,4096.0,0.9954703822946686
joint,sintel,train,kitti2015,val,eval_to_train,1.0,,1.0,0.12116982776773864
joint,sintel,train,kitti2015,val,train_to_eval,1.0,,1.0,0.028016837025696444
joint,sintel,train,kitti2015,val,eval_to_train,2.0,,4.0,0.32142349939520376
joint,sintel,train,kitti2015,val,train_to_eval,2.0,,4.0,0.14812558162223824
joint,sintel,train,kitti2015,val,eval_to_train,4.0,,16.0,0.5613758012938233
joint,sintel,train,kitti2015,val,train_to_eval,4.0,,16.0,0.3439770202929875
joint,sintel,train,kitti2015,val,eval_to_train,8.0,,64.0,0.8058750936577196
joint,sintel,train,kitti2015,val,train_to_eval,8.0,,64.0,0.5036642201008645
joint,sintel,train,kitti2015,val,eval_to_train,16.0,,256.0,0.953592293867317
joint,sintel,train,kitti2015,val,train_to_eval,16.0,,256.0,0.6019930880763689
joint,sintel,train,kitti2015,val,eval_to_train,32.0,,1024.0,0.99470864491359
joint,sintel,train,kitti2015,val,train_to_eval,32.0,,1024.0,0.6904310946505764
joint,sintel,train,kitti2015,val,eval_to_train,64.0,,4096.0,0.9999461315076812
joint,sintel,train,kitti2015,val,train_to_eval,64.0,,4096.0,0.7813461552893852
joint,sintel,train,kitti2012,val,eval_to_train,1.0,,1.0,0.06885269007731959
joint,sintel,train,kitti2012,val,train_to_eval,1.0,,1.0,0.01686423060758886
joint,sintel,train,kitti2012,val,eval_to_train,2.0,,4.0,0.31521071601159795
joint,sintel,train,kitti2012,val,train_to_eval,2.0,,4.0,0.10615356328049952
joint,sintel,train,kitti2012,val,eval_to_train,4.0,,16.0,0.6826121536726805
joint,sintel,train,kitti2012,val,train_to_eval,4.0,,16.0,0.3002582590357829
joint,sintel,train,kitti2012,val,eval_to_train,8.0,,64.0,0.9480886557667526
joint,sintel,train,kitti2012,val,train_to_eval,8.0,,64.0,0.5171057914565321
joint,sintel,train,kitti2012,val,eval_to_train,16.0,,256.0,0.9983791076030928
joint,sintel,train,kitti2012,val,train_to_eval,16.0,,256.0,0.6319438190441883
joint,sintel,train,kitti2012,val,eval_to_train,32.0,,1024.0,0.999901840367268
joint,sintel,train,kitti2012,val,train_to_eval,32.0,,1024.0,0.723117795389049
joint,sintel,train,kitti2012,val,eval_to_train,64.0,,4096.0,0.9999899323453608
joint,sintel,train,kitti2012,val,train_to_eval,64.0,,4096.0,0.8170746465237753
joint,sintel,train,pfpascal,test,eval_to_train,1.0,,1.0,0.0012427506213753107
joint,sintel,train,pfpascal,test,train_to_eval,1.0,,1.0,1.407150576368876e-06
joint,sintel,train,pfpascal,test,eval_to_train,2.0,,4.0,0.011184755592377795
joint,sintel,train,pfpascal,test,train_to_eval,2.0,,4.0,3.4709714217098945e-05
joint,sintel,train,pfpascal,test,eval_to_train,4.0,,16.0,0.08657829328914664
joint,sintel,train,pfpascal,test,train_to_eval,4.0,,16.0,0.0005727102845821325
joint,sintel,train,pfpascal,test,eval_to_train,8.0,,64.0,0.3028169014084507
joint,sintel,train,pfpascal,test,train_to_eval,8.0,,64.0,0.01084209519092219
joint,sintel,train,pfpascal,test,eval_to_train,16.0,,256.0,0.5853355426677713
joint,sintel,train,pfpascal,test,train_to_eval,16.0,,256.0,0.15688509396013448
joint,sintel,train,pfpascal,test,eval_to_train,32.0,,1024.0,0.8069594034797017
joint,sintel,train,pfpascal,test,train_to_eval,32.0,,1024.0,0.8228636639949568
joint,sintel,train,pfpascal,test,eval_to_train,64.0,,4096.0,0.9391052195526097
joint,sintel,train,pfpascal,test,train_to_eval,64.0,,4096.0,0.9943029163664745
joint,sintel,train,pfwillow,test,eval_to_train,1.0,,1.0,0.0017777777777777779
joint,sintel,train,pfwillow,test,train_to_eval,1.0,,1.0,8.442903458213257e-06
joint,sintel,train,pfwillow,test,eval_to_train,2.0,,4.0,0.01888888888888889
joint,sintel,train,pfwillow,test,train_to_eval,2.0,,4.0,0.0001894962776176753
joint,sintel,train,pfwillow,test,eval_to_train,4.0,,16.0,0.10444444444444445
joint,sintel,train,pfwillow,test,train_to_eval,4.0,,16.0,0.0027050124579731027
joint,sintel,train,pfwillow,test,eval_to_train,8.0,,64.0,0.30977777777777776
joint,sintel,train,pfwillow,test,train_to_eval,8.0,,64.0,0.03278051077689721
joint,sintel,train,pfwillow,test,eval_to_train,16.0,,256.0,0.5545555555555556
joint,sintel,train,pfwillow,test,train_to_eval,16.0,,256.0,0.24604403067963496
joint,sintel,train,pfwillow,test,eval_to_train,32.0,,1024.0,0.7586666666666667
joint,sintel,train,pfwillow,test,train_to_eval,32.0,,1024.0,0.6368608722082133
joint,sintel,train,pfwillow,test,eval_to_train,64.0,,4096.0,0.9072222222222223
joint,sintel,train,pfwillow,test,train_to_eval,64.0,,4096.0,0.9400577306976465
