space,train_dataset,train_split,eval_dataset,eval_split,train_n_centroids,eval_n_centroids,train_total_weight,eval_total_weight,distance_metric,flow_normalized,train_kmeans_k,eval_kmeans_k,mean_nn_eval_to_train_k1,median_nn_eval_to_train_k1,p90_nn_eval_to_train_k1,p95_nn_eval_to_train_k1,mean_nn_train_to_eval_k1,median_nn_train_to_eval_k1,p90_nn_train_to_eval_k1,p95_nn_train_to_eval_k1,eval_covered_by_train_eps0p5px_weighted,train_covered_by_eval_eps0p5px_weighted,eval_covered_by_train_eps0p75px_weighted,train_covered_by_eval_eps0p75px_weighted,eval_covered_by_train_eps1px_weighted,train_covered_by_eval_eps1px_weighted,eval_covered_by_train_eps1p5px_weighted,train_covered_by_eval_eps1p5px_weighted,eval_covered_by_train_eps2px_weighted,train_covered_by_eval_eps2px_weighted,eval_covered_by_train_eps3px_weighted,train_covered_by_eval_eps3px_weighted,eval_covered_by_train_eps4px_weighted,train_covered_by_eval_eps4px_weighted,eval_covered_by_train_eps6px_weighted,train_covered_by_eval_eps6px_weighted,eval_covered_by_train_eps8px_weighted,train_covered_by_eval_eps8px_weighted,eval_covered_by_train_eps12px_weighted,train_covered_by_eval_eps12px_weighted,eval_covered_by_train_eps16px_weighted,train_covered_by_eval_eps16px_weighted,eval_covered_by_train_eps24px_weighted,train_covered_by_eval_eps24px_weighted,eval_covered_by_train_eps32px_weighted,train_covered_by_eval_eps32px_weighted,eval_covered_by_train_eps48px_weighted,train_covered_by_eval_eps48px_weighted,eval_covered_by_train_eps64px_weighted,train_covered_by_eval_eps64px_weighted
flow,spair,train,spair,test,8192,8192,371616,88328,sqL2,True,8192,8192,0.0003145553346257657,6.443262100219727e-05,0.00039950013160705615,0.0008056968450546264,0.0002896597143262625,6.746500730514526e-05,0.00042291879653930684,0.0008403778076171869,0.03399827914138212,0.03431230086971498,0.07564985055701476,0.07654406699388616,0.1348383298614256,0.1358364548350986,0.3045919753645503,0.29754101007491607,0.48316502128430394,0.464864268492207,0.7361652024273163,0.7197671790235082,0.8409111493524137,0.8307580943769913,0.9290259034507744,0.9264294325325066,0.9609976451408387,0.9598591018685956,0.9839235576487637,0.9843063807801602,0.9922901005343718,0.9921881727374494,0.9977130694683453,0.998210518384569,0.9993093922651933,0.999445664341686,0.9997396069196631,0.9997927968655816,0.9999433928086224,1.0
flow,spair,train,pfpascal,test,8192,2414,371616,2414,sqL2,True,8192,2414,4.580295717460103e-05,3.312062472105026e-05,8.579343557357791e-05,0.0001143160741776227,0.044398438185453415,0.0006264597177505493,0.11222942471504217,0.26585349440574585,0.05758077879038939,0.01679959958667011,0.13628831814415907,0.03817112287953156,0.22990886495443247,0.06060826229225868,0.5132560066280033,0.1239128562817532,0.7937033968516984,0.18538760440885216,0.968102734051367,0.2946455480926548,0.9892294946147473,0.374827779212951,0.9983429991714996,0.48248191681735986,0.9991714995857498,0.549300891242573,0.9995857497928748,0.6287969301644708,1.0,0.6782323688969258,1.0,0.7380333462498924,1.0,0.7772539395505037,1.0,0.8262372987169552,1.0,0.8623740635494704
flow,spair,train,pfwillow,test,8192,8192,371616,9000,sqL2,True,8192,8192,4.5062559365760535e-05,3.448687493801117e-05,9.101107716560366e-05,0.0001241616904735565,0.018315332010388374,0.0001477375626564026,0.024989891052246107,0.09439828991889945,0.05533333333333333,0.04724500559717558,0.126,0.09852643589081202,0.22077777777777777,0.15631996469473866,0.4971111111111111,0.2723321923706191,0.7721111111111111,0.35989569878584343,0.9604444444444444,0.48735522690088695,0.9936666666666667,0.5635064152243175,0.9995555555555555,0.6550363816412641,1.0,0.708672393007836,1.0,0.7791080039610782,1.0,0.8132157926461724,1.0,0.8591260871437183,1.0,0.8841573021613709,1.0,0.9168254327047275,1.0,0.9400321837595798
flow,spair,train,pointodyssey,test,8192,8192,371616,16000000,sqL2,True,8192,8192,3.1888608646113425e-05,2.92919939965941e-05,6.095264325267636e-05,7.01065029716119e-05,0.08229545503854752,0.0032672137022018433,0.25045996904373174,0.4734376072883603,0.058989875,0.023042603117196244,0.1307123125,0.03695481357099802,0.229998125,0.05387012399896667,0.529775125,0.08235920950658744,0.8603475625,0.11103127960044777,0.9985095625,0.16232347369327477,0.9998196875,0.21014434254714545,1.0,0.2907113794885043,1.0,0.3529530483079308,1.0,0.45105431413071556,1.0,0.524444587961767,1.0,0.6109559330061138,1.0,0.65916968053044,1.0,0.7220437225523121,1.0,0.7706207482993197
flow,spair,train,tss,val,8192,8192,371616,819200,sqL2,True,8192,8192,5.885413338546641e-05,3.1648436561226845e-05,8.40410590171814e-05,0.00013100504875183103,0.018291212618350983,0.0001927018165588379,0.025572896003723165,0.09270055890083309,0.062738037109375,0.062233595970033584,0.13671630859375,0.12518836648583484,0.24166015625,0.17983617497631965,0.537239990234375,0.27415127443382414,0.811932373046875,0.3451896581417377,0.954078369140625,0.4500075346594334,0.975760498046875,0.5324044174631878,0.9902490234375,0.6481314044605184,0.995675048828125,0.7158626108671317,0.99912353515625,0.7908297812796005,0.999268798828125,0.8255430336691638,0.99993896484375,0.8567257599242228,0.99993896484375,0.8795181047102385,1.0,0.9141344829070869,1.0,0.9366200594161715
flow,spair,train,middlebury,val,8192,8192,371616,98304,sqL2,True,8192,8192,3.213639138266444e-05,2.3994827643036842e-05,6.863212911412121e-05,8.034389466047286e-05,0.43508434295654297,0.23524945974349976,1.1163517951965334,1.5763890981674191,0.07624308268229167,0.0008503401360544217,0.19083658854166666,0.001431585292344786,0.365325927734375,0.0018863558081460433,0.6231587727864584,0.0023734177215189874,0.8483784993489584,0.00378885731507793,1.0,0.00640715146818221,1.0,0.008269288728149488,1.0,0.01272281064324464,1.0,0.017394299491948678,1.0,0.027781365710841298,1.0,0.038469818307069664,1.0,0.0646823602858865,1.0,0.09381189184534573,1.0,0.1575766382502368,1.0,0.22774046327391717
flow,pointodyssey,train,flyingthings,test,8192,8192,16000000,14319616,sqL2,True,8192,8192,0.006353234872221947,1.6598496586084366e-06,0.00014264024794101717,0.0005658954381942746,1.954504296008963e-05,2.164306351915002e-07,7.975567132234574e-06,2.6300363242626142e-05,0.6248053718758939,0.8992624375,0.7192282949486913,0.933441875,0.7705814876600043,0.9528824375,0.8296245513846181,0.9731229375,0.864122892680921,0.9821565,0.9024699405347183,0.98964825,0.926744404319222,0.993203125,0.9531119409905964,0.99630775,0.9644192972772454,0.9971556875,0.9791791204456879,0.99915,0.9865443319150458,0.9996223125,0.9918629801246067,1.0,0.9929773954832308,1.0,0.9947584488299127,1.0,0.9959107143655249,1.0
flow,pointodyssey,train,kitti2015,val,8192,8192,16000000,408402,sqL2,True,8192,8192,2.863878762582317e-05,1.2204982340335846e-06,3.920271992683414e-05,9.490037336945531e-05,0.0009465721668675542,2.1929736249148846e-07,6.888629868626638e-05,0.000870773266069591,0.6566863041806847,0.856437625,0.7561446809760971,0.8863125625,0.8172682797831549,0.9026866875,0.8888325718287373,0.918772,0.9272848810730604,0.9287468125,0.9617313333431277,0.941075875,0.9784109774193075,0.94858925,0.9918560633885241,0.960237625,0.9972722954344004,0.9678943125,0.9986483905563636,0.9774935,0.9994221379914888,0.9831233125,0.9999314401006851,0.989877875,1.0,0.992753375,1.0,0.99642025,1.0,0.9976915625
flow,pointodyssey,train,kitti2012,val,8192,8192,16000000,397312,sqL2,True,8192,8192,8.91892887011636e-06,8.107745088636875e-07,1.3152975589036946e-05,2.554603852331638e-05,0.0017547669121995568,1.72352883964777e-07,0.0005079985596239577,0.003617628954816601,0.7470250080541238,0.83407675,0.8605302633698454,0.8576148125,0.9167153269974226,0.8688778125,0.963781612435567,0.883915375,0.9841862314755154,0.894963875,0.9934384060889175,0.9081175,0.9968765101481959,0.9178776875,0.9993355347938144,0.9319151875,0.999889255798969,0.942890625,0.9999295264175257,0.9574134375,0.9999295264175257,0.96635925,1.0,0.9784629375,1.0,0.9859825,1.0,0.99264925,1.0,0.9962894375
flow,pointodyssey,train,spair,test,8192,8192,16000000,88328,sqL2,True,8192,8192,0.06971520185470581,0.002377644181251526,0.2095379948616032,0.4219524502754211,2.4425946321571246e-05,1.808709930628538e-05,5.356402834877373e-05,6.638123595621435e-05,0.026016665157141565,0.1087170625,0.042862965311113124,0.266035,0.06250566071913775,0.4886359375,0.09923240648491985,0.8157850625,0.13166832714428042,0.953029125,0.1877207680463726,0.9987001875,0.24056924191649307,0.999825875,0.3259781722670048,1.0,0.38951408386921477,1.0,0.49550538900461916,1.0,0.5654605561090481,1.0,0.6494203423602934,1.0,0.6939135947830812,1.0,0.7526605379947469,1.0,0.7972556833620144,1.0
