dataset1,split1,dataset2,split2,mmd2,mmd,num_vectors1,num_vectors2
synthetic_random_flipping,train,pfpascal,test,0.0002636731369420886,0.01623801517865064,1638400,306176
synthetic_random_flipping,train,pfwillow,test,0.00037605303805321455,0.0193920869958139,1638400,921600
synthetic_random_flipping,train,flyingthings,test,0.0003305276622995734,0.01818041975036807,1638400,165888
synthetic_random_flipping,train,tss,val,0.00034947917447425425,0.01869436210396745,1638400,409600
synthetic_random_flipping,train,middlebury,val,0.00037089985562488437,0.019258760490355666,1638400,49152
spair_synthetic_50_50,train,spair_synthetic_70_30,train,1.604326826054603e-05,0.004005404880975958,1638400,1638400
spair_synthetic_50_50,train,spair,train,0.0004086834378540516,0.020215920405810158,1638400,1638400
spair_synthetic_50_50,train,flyingthings,train,0.0001573697227286175,0.012544708953523692,1638400,184320
spair_synthetic_50_50,train,pointodyssey,test,0.0019597122445702553,0.04426863725675611,1638400,1638400
spair_synthetic_50_50,train,synthetic,val,7.627370359841734e-05,0.008733481756917875,1638400,1638400
spair_synthetic_50_50,train,kitti2012,val,0.00022324250312522054,0.014941301922028768,1638400,198656
spair_synthetic_50_50,train,kitti2015,val,0.0002940904232673347,0.017149064792790734,1638400,204800
spair_synthetic_50_50,train,spair,test,0.00019069611153099686,0.013809276285562428,1638400,1638400
spair_synthetic_50_50,train,pfpascal,test,8.392105519305915e-05,0.009160843585230519,1638400,306176
spair_synthetic_50_50,train,pfwillow,test,0.00020230081281624734,0.014223249024616259,1638400,921600
spair_synthetic_50_50,train,flyingthings,test,0.00017978250980377197,0.013408300034074862,1638400,165888
spair_synthetic_50_50,train,tss,val,0.00015406722377520055,0.012412381873564821,1638400,409600
spair_synthetic_50_50,train,middlebury,val,0.0002133300295099616,0.014605821767704877,1638400,49152
spair_synthetic_70_30,train,spair,train,0.00036197458393871784,0.01902562965945458,1638400,1638400
spair_synthetic_70_30,train,flyingthings,train,0.0001369855017401278,0.011704080559365943,1638400,184320
spair_synthetic_70_30,train,pointodyssey,test,0.0019304521847516298,0.04393691141570638,1638400,1638400
spair_synthetic_70_30,train,synthetic,val,0.00012918149877805263,0.011365803921327019,1638400,1638400
spair_synthetic_70_30,train,kitti2012,val,0.00018882688891608268,0.013741429653281447,1638400,198656
spair_synthetic_70_30,train,kitti2015,val,0.0002534159866627306,0.01591904477858928,1638400,204800
spair_synthetic_70_30,train,spair,test,0.00015693569730501622,0.01252739786647715,1638400,1638400
spair_synthetic_70_30,train,pfpascal,test,5.3111511078896e-05,0.007287764477457817,1638400,306176
spair_synthetic_70_30,train,pfwillow,test,0.00017162822769023478,0.013100695694894787,1638400,921600
spair_synthetic_70_30,train,flyingthings,test,0.0001577303628437221,0.012559074919902425,1638400,165888
