dataset1,split1,dataset2,split2,representation,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist,kl_eval_to_train_hist_log1p_linear,kl_train_to_eval_hist_log1p_linear,kl_eval_to_train_hist_radius,kl_train_to_eval_hist_radius,kl_eval_to_train_hist_median,kl_train_to_eval_hist_median,kl_eval_to_train_hist_rank,kl_train_to_eval_hist_rank
spair_2d_warp_70_30,train,kitti2012,val,dino,5,median,5,0.99,0.3071519386768336,0.2504759114980698,0.4245703125,0.24248046875,0.75751953125,0.4245703125,0.24248046875,0.3182143568992615,0.3262760639190674,0.43000598549842833,0.34703120589256287,0.34085336327552795,0.5174046754837036,knn,20,50,1e-06,93.83597489331659,61.58641402408191,20480,51200,0.14925949901887428,0.30393842159985784,0.14927509155748075,0.4270018359833617,0.4275743102967552,2.3880044367476456,0.11208557613802,0.18958140758147107,0.1492505500328654,0.3039189100273415
spair_2d_warp_70_30,train,spair,test,dino,5,median,5,0.99,0.3071519386768336,0.21129608154296875,0.52952,0.267578125,0.732421875,0.52952,0.267578125,0.29960423707962036,0.29914265871047974,0.4349702000617981,0.2991717755794525,0.2866345942020416,0.46847838759422306,knn,20,50,1e-06,128.40700861423323,41.360974682907354,20480,100000,0.04488089248244219,0.04803591901622819,0.04556286549089422,0.06254044538483056,0.41696642255785693,1.2171345543426935,0.06075139714277475,0.07350954728090567,0.044862615067352576,0.048017783227604555
spair_2d_warp_70_30,train,pfpascal,test,dino,5,median,5,0.99,0.3071519386768336,0.31635703325271686,0.4945004111842105,0.753564453125,0.24643554687500002,0.4945004111842105,0.753564453125,0.30782365798950195,0.30861303210258484,0.4377143383026123,0.25306615233421326,0.24699082970619202,0.3786948323249817,knn,20,50,1e-06,44.23444087927949,36.49550216655728,20480,77824,0.17347523385491959,0.15774719795430955,0.19213575673556332,0.1589676462195342,0.23814352163868507,0.20445392544271265,0.0284158203503648,0.03646088144854945,0.17347053684850447,0.1577383959777436
spair_2d_warp_70_30,train,pfwillow,test,dino,5,median,5,0.99,0.3071519386768336,0.21206200122833252,0.56126,0.263623046875,0.736376953125,0.56126,0.263623046875,0.2927924394607544,0.288665771484375,0.4367561757564545,0.30343157052993774,0.2986584007740021,0.4675503492355347,knn,20,50,1e-06,138.83205861423323,44.427991284469854,20480,100000,0.028937900793657576,0.032824592316514085,0.02967515857674677,0.03937204245540459,0.4720769342067569,1.2937564118672444,0.01867906190550487,0.02064418146508843,0.0289356216560195,0.032824287583031755
spair_2d_warp_70_30,train,pointodyssey,test,dino,5,median,5,0.99,0.3071519386768336,0.11684389948844862,0.17089,0.001171875,0.998828125,0.17089,0.001171875,0.4099453091621399,0.41607779264450073,0.5406984090805054,0.4465988278388977,0.449691504240036,0.606555587053299,knn,20,50,1e-06,1590.3275686142335,87.31689814482142,20480,100000,0.09539843872145025,0.16096125171647968,0.09762196622443065,0.23447789367947866,4.056240298691977,19.537776550067672,0.028217117960491554,0.03373234116142758,0.09530665183105524,0.16086869865902723
spair_2d_warp_70_30,train,flyingthings,test,dino,5,median,5,0.99,0.3071519386768336,0.28478713095188146,0.10537574404761904,0.147705078125,0.852294921875,0.10537574404761904,0.147705078125,0.45576348900794983,0.471274197101593,0.5860575199127197,0.41057443618774414,0.4214726686477661,0.5487929522991181,knn,20,50,1e-06,102.87919128277308,85.68706674045276,20480,43008,0.1037945543097919,0.0999396814533682,0.1050648442505522,0.10185228742677602,0.02685367210717401,0.028949910230260462,0.03581364204788898,0.04504800114257018,0.10380528882028736,0.09995239218579019
spair_2d_warp_70_30,train,tss,val,dino,5,median,5,0.99,0.3071519386768336,0.2353616976737975,0.6297,0.390966796875,0.609033203125,0.6297,0.390966796875,0.28083500266075134,0.273795485496521,0.40598406791687014,0.2912515699863434,0.2733531594276428,0.4729130685329438,knn,20,50,1e-06,98.85448861423322,40.44333552275111,20480,100000,0.10403883277272644,0.12094551743114434,0.10376216683629794,0.12704325126856278,0.29671445965013815,0.713113648342303,0.10413065151156262,0.12159752320679912,0.10402774114000257,0.12094166283244562
spair_2d_warp_70_30,train,middlebury,val,dino,5,median,5,0.99,0.3071519386768336,0.2801782995462417,0.2001953125,0.15126953125,0.84873046875,0.2001953125,0.15126953125,0.38323402404785156,0.39465928077697754,0.48998970985412604,0.39490097761154175,0.3984028995037079,0.5303914189338684,knn,20,50,1e-06,53.046027653444725,84.32860308836365,20480,12288,0.05639912402055555,0.08282974727958431,0.05711060285808567,0.09934493219010247,0.18669976862685297,0.39057318945840436,0.04955067676087749,0.06930841464904844,0.056364395681429647,0.0827668904913282
spair_2d_warp_50_50,train,kitti2015,val,dino,5,median,5,0.99,0.32733356118202184,0.2412361127138137,0.5595703125,0.202783203125,0.797216796875,0.5595703125,0.202783203125,0.3049570918083191,0.31418484449386597,0.41181188225746157,0.3656637668609619,0.3675895035266876,0.5481641292572021,knn,20,50,1e-06,106.01768003651911,65.52538449309456,20480,53248,0.2934868317847433,0.6148126899142534,0.2923289276899473,0.7522790650793448,0.8297832740476762,5.807904916795676,0.11286695789175342,0.15004262780170063,0.2934862896473201,0.614798740333393
spair_2d_warp_50_50,train,kitti2012,val,dino,5,median,5,0.99,0.32733356118202184,0.2504759114980698,0.514375,0.218359375,0.781640625,0.514375,0.218359375,0.31328704953193665,0.3239780366420746,0.41859895586967466,0.3676828145980835,0.3676144480705261,0.5525630772113801,knn,20,50,1e-06,93.55220536206659,66.41723677798817,20480,51200,0.27872326180316187,0.5447726650765008,0.2782865250340808,0.5805200136543864,0.7196738784443039,3.281868275879126,0.13668915218740538,0.18913115774076394,0.2786928474714704,0.5447515021014809
