dataset1,split1,dataset2,split2,representation,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist,kl_eval_to_train_hist_log1p_linear,kl_train_to_eval_hist_log1p_linear,kl_eval_to_train_hist_radius,kl_train_to_eval_hist_radius,kl_eval_to_train_hist_median,kl_train_to_eval_hist_median,kl_eval_to_train_hist_rank,kl_train_to_eval_hist_rank
spair_2d_warp_70_30,train,pointodyssey,test,flow,1,first,1,0.95,2.245116710662842,1.419727087020874,0.000653,8e-05,0.99992,0.000653,8e-05,35.82090377807617,32.19491958618164,66.55525970458984,73.4955825805664,71.27323150634766,118.20903778076172,knn,20,50,1e-06,43.5550450000005,13.8439340000005,1000000,1000000,0.9032790302909817,0.9078634312982364,0.9008724797502051,0.90615004584186,1.8960105152925828,5.6432426375993865,0.37271414577810325,0.1493834245424795,0.9034018658829794,0.9082070752365645
spair_2d_warp_70_30,train,flyingthings,test,flow,1,first,1,0.95,2.245116710662842,6.390282559394828,0.001366,0.203067,0.796933,0.001366,0.203067,122.25553894042969,40.675254821777344,102.02898712158202,14.502548217773438,10.79573917388916,28.3951021194458,knn,20,50,1e-06,5.9315210000005,8.9909230000005,1000000,1000000,1.7334011287679028,1.3255199625023362,1.750508385699632,1.3066927265336392,8.061458245689682,3.3456804907235993,0.024704610266110465,0.021398477765382465,1.7334064077280067,1.3255228807872317
spair_2d_warp_70_30,train,tss,val,flow,1,first,1,0.95,2.245116710662842,6.168407607078552,0.002016,0.264818,0.735182,0.002016,0.264818,53.82768249511719,39.13426208496094,113.29905166625976,19.15345001220703,11.76863956451416,44.79072113037104,knn,20,50,1e-06,5.7129230000005,9.2457060000005,1000000,1000000,1.1372624542756125,0.8408352199007774,1.546473135696816,0.8422422480165161,7.757929572336953,2.5501228323464984,0.08130029660438849,0.08212874076711257,1.137264017431876,0.8408368925619454
spair_2d_warp_70_30,train,middlebury,val,flow,1,first,1,0.95,2.245116710662842,2.1497166395187377,0.00104,0.003587,0.996413,0.00104,0.003587,44.17692947387695,37.536285400390625,79.50141830444336,56.74372482299805,53.60166931152344,104.70236206054688,knn,20,50,1e-06,9.5492840000005,12.4131510000005,1000000,1000000,0.2221740474849359,0.2651081446906367,0.2234368605126371,0.26706167499967876,0.23976080505205802,0.2890094805026026,0.18953773016338912,0.15415356305961542,0.2221742002790879,0.2651085686050487
spair_2d_warp_50_50,train,kitti2015,val,flow,1,first,1,0.95,2.486032009124756,2.0486514925956714,0.018614,0.0035079407656159103,0.9964920592343841,0.018614,0.0035079407656159103,19.622098922729492,15.220234870910645,41.27918472290039,71.61881256103516,62.61955642700195,133.65701904296876,knn,20,50,1e-06,7.030728213551939,9.969182365352937,861189,1000000,1.3002594459325698,2.3965420183479704,1.3030204800600365,2.5877278901105636,1.5921290645848618,3.9203095267974035,0.08791677439605675,0.059461212667710706,1.3002594459325698,2.3965420183479704
spair_2d_warp_50_50,train,kitti2012,val,flow,1,first,1,0.95,2.486032009124756,2.8009579181671143,0.020185,0.00560388021677007,0.99439611978323,0.020185,0.00560388021677007,20.859188079833984,16.267242431640625,44.16635742187499,74.7861328125,65.8119888305664,133.98977050781252,knn,20,50,1e-06,7.073380713551939,10.439307970765919,861189,1000000,1.6195802944904922,2.962461253158043,1.6244985973575083,3.560079548683698,1.4217048002676496,2.318717669401207,0.17596995936228121,0.12718150989447868,1.6195805073664251,2.9624621867136174
spair_2d_warp_50_50,train,spair,test,flow,1,first,1,0.95,2.486032009124756,41.9192665100098,0.003967896113265398,0.8426884226342882,0.15731157736571177,0.003967896113265398,0.8426884226342882,91.80023193359375,68.02599334716797,210.54406433105473,29.6294002532959,26.002193450927734,49.32852172851565,knn,20,50,1e-06,4.751787378812694,5.457192472594274,861189,11089,1.3763937371057262,0.7630333217533017,6.224182627135771,0.7817402077652563,4.717246807560415,9.75318513801506,0.6531957149903007,0.47327260740951377,1.376393303013791,0.7630321938410588
spair_2d_warp_50_50,train,pfpascal,test,flow,1,first,1,0.95,2.486032009124756,52.865956306457505,0.007456503728251864,0.9208350315668221,0.07916496843317788,0.007456503728251864,0.9208350315668221,32.71547317504883,25.631759643554688,64.73936920166017,31.792387008666992,29.174190521240234,50.113895416259766,knn,20,50,1e-06,2.2371070483202593,4.609568148915321,861189,2414,0.35718151961779027,0.2561222902296215,0.5539624905728291,0.2569791836682269,3.944908487569752,13.546896077322446,0.3497706281754223,0.25451874522667267,0.3571810361039084,0.2561218858514818
spair_2d_warp_50_50,train,pfwillow,test,flow,1,first,1,0.95,2.486032009124756,31.55690164566035,0.0057777777777777775,0.6508745467022918,0.34912545329770817,0.0057777777777777775,0.6508745467022918,35.374080657958984,25.21704864501953,74.89710235595705,30.51595687866211,25.10952377319336,55.39156646728517,knn,20,50,1e-06,2.99295042397482,4.886861034704559,861189,9000,0.1855781299510128,0.13682893325513326,0.34177852552793814,0.14224969386023067,3.9587682407749485,6.819270458592096,0.1856174212186667,0.13634508439911988,0.1855786100454957,0.1368295649385322
spair_2d_warp_50_50,train,pointodyssey,test,flow,1,first,1,0.95,2.486032009124756,1.419727087020874,0.022869,0.00029029632287453744,0.9997097036771254,0.022869,0.00029029632287453744,18.431228637695312,18.353008270263672,33.19182586669922,73.74202728271484,69.14501953125,127.20177307128907,knn,20,50,1e-06,40.87838371355193,10.259654027206492,861189,1000000,1.8633129320146125,9.773554640355433,1.860129883882789,10.312689629624547,2.9100329522190034,17.326307699376454,0.1335391528421427,0.11124532466140676,1.863466589843624,9.773586837303041
