dataset1,split1,dataset2,split2,representation,support_mode,normalization_mode,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist
synthetic_small_zoom,train,pfpascal,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04247361049056053,1.1830712616443628,0.0687655343827672,0.997921,0.002079000000000053,0.0687655343827672,0.997921,0.7619143724441528,0.4584367871284485,1.8330472826957702,0.49871936440467834,0.4766165316104889,0.7108774781227112,knn,20,50,1e-06,5.259269099262123,3.1854371839534235,16000000,2414,1.078564032749198,0.7090173240753136
synthetic_small_zoom,train,pfwillow,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04247361049056053,0.7324790388345715,0.07355555555555555,0.87598475,0.12401525000000002,0.07355555555555555,0.87598475,0.7890896201133728,0.516004204750061,1.8580971002578741,0.45207470655441284,0.38796448707580566,0.7775047421455383,knn,20,50,1e-06,5.938014937871495,3.171972638614303,16000000,9000,0.7831867270666817,0.4883412649654436
synthetic_small_zoom,train,pointodyssey,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04247361049056053,0.03497650474309921,0.6710845105477266,0.23498375,0.76501625,0.6710845105477266,0.23498375,0.06443657726049423,0.0342082753777504,0.06955166235566139,0.09665969759225845,0.06704020500183105,0.18232791721820824,knn,20,50,1e-06,3.760484140164264,2.883018571568763,16000000,13982160,0.6631150325276136,0.8687950531455593
synthetic_small_zoom,train,tss,val,flow,global_radius,train_zscore,1,first,5,0.95,0.04247361049056053,0.1446464173495767,0.0888825,0.5013263125,0.49867368749999996,0.0888825,0.5013263125,0.6117922067642212,0.391265332698822,1.4293009161949157,0.19961412250995636,0.1443183720111847,0.40221014618873596,knn,20,50,1e-06,6.510189773554773,3.3513697889460103,16000000,800000,1.0582508704320015,0.6581676218967133
synthetic_small_zoom,train,middlebury,val,flow,global_radius,train_zscore,1,first,5,0.95,0.04247361049056053,0.06299017369747162,0.226625,0.0060696875,0.9939303125,0.226625,0.0060696875,0.16386568546295166,0.10815990716218948,0.39039095342159286,1.078624963760376,0.9027515649795532,2.017905783653259,knn,20,50,1e-06,7.400960002516669,5.857078252745919,16000000,96000,2.109020385244787,9.450625152862468
synthetic_large_zoom,train,flyingthings,test,flow,global_radius,train_zscore,1,first,5,0.95,0.040639325976371765,0.06301640719175339,0.5584917763157895,0.7507029786242495,0.2492970213757505,0.5584917763157895,0.7507029786242495,0.18856161832809448,0.03501409292221069,0.2980582892894744,0.052332375198602676,0.038615044206380844,0.09881329536437988,knn,20,50,1e-06,1.9979019422332616,2.0913543801753267,15999064,13984000,0.30843451749603656,0.19116292874403723
synthetic_large_zoom,train,kitti2015,val,flow,global_radius,train_zscore,1,first,5,0.95,0.040639325976371765,0.040657250396907325,0.9050369813212987,0.07403670614730962,0.9259632938526904,0.9050369813212987,0.07403670614730962,0.03037279285490513,0.018792958930134773,0.039225044101476675,0.5961337685585022,0.33049285411834717,1.4677568674087524,knn,20,50,1e-06,3.5338982194103354,4.359418459781761,15999064,398850,2.539626464140418,4.974821644547214
synthetic_large_zoom,train,kitti2012,val,flow,global_radius,train_zscore,1,first,5,0.95,0.040639325976371765,0.049224480986595154,0.9254072164948454,0.11461870519425386,0.8853812948057461,0.9254072164948454,0.11461870519425386,0.02512666955590248,0.018480034545063972,0.03426644951105118,0.6821567416191101,0.42861121892929077,1.6790855884552007,knn,20,50,1e-06,2.745248346102114,4.966721033682372,15999064,388000,2.5277426520053847,8.110938128633816
synthetic_large_zoom,train,spair,test,flow,global_radius,train_zscore,1,first,5,0.95,0.040639325976371765,0.435960081219673,0.04101831269185985,0.93956790222228,0.06043209777771996,0.04101831269185985,0.93956790222228,0.5394536256790161,0.43933773040771484,1.0809887051582339,0.24621175229549408,0.2271011769771576,0.38677793741226196,knn,20,50,1e-06,5.65637277562244,3.6572813194462857,15999064,56682,1.1734042508015894,0.7611280952860466
synthetic_large_zoom,train,pfpascal,test,flow,global_radius,train_zscore,1,first,5,0.95,0.040639325976371765,0.7702270299196241,0.15368682684341342,0.979778942068111,0.020221057931888997,0.15368682684341342,0.979778942068111,0.27558985352516174,0.21630188822746277,0.6060764491558075,0.37625548243522644,0.35175469517707825,0.5496185481548311,knn,20,50,1e-06,3.6474552770248323,2.3841739013598886,15999064,2414,0.9360566814078792,0.5317202340041947
