dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage
synthetic_random_flipping,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.13770506225983042,0.35949402558235105,0.6405059744176489,0.13770506225983042,0.35949402558235105
synthetic_random_flipping,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2371964396880959,0.2574043468048496,0.7425956531951504,0.2371964396880959,0.2574043468048496
synthetic,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.18012557786284678,0.2982929854977204,0.7017070145022797,0.18012557786284678,0.2982929854977204
synthetic,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.22166907499491065,0.10703003507019515,0.8929699649298048,0.22166907499491065,0.10703003507019515
synthetic,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.1871444501750091,0.10946487188175855,0.8905351281182414,0.1871444501750091,0.10946487188175855
synthetic,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.17523612666504168,0.12609584641372207,0.8739041535862779,0.17523612666504168,0.12609584641372207
synthetic,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.19842097280342846,0.19214681375361753,0.8078531862463825,0.19842097280342846,0.19214681375361753
synthetic,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.21161235437928508,0.13800787346141738,0.8619921265385826,0.21161235437928508,0.13800787346141738
synthetic,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.242875389943555,0.13177144685476078,0.8682285531452392,0.242875389943555,0.13177144685476078
synthetic,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.11988614315060553,0.35932962604398555,0.6406703739560144,0.11988614315060553,0.35932962604398555
synthetic,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.21397587673841392,0.25681081725856736,0.7431891827414326,0.21397587673841392,0.25681081725856736
flyingthings,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2856751430208541,0.3765924922120472,0.6234075077879528,0.2856751430208541,0.3765924922120472
flyingthings,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2840255378715558,0.15933285112117535,0.8406671488788247,0.2840255378715558,0.15933285112117535
flyingthings,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3122427689177642,0.18469340791041775,0.8153065920895822,0.3122427689177642,0.18469340791041775
flyingthings,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.282967010485478,0.1969274207659421,0.8030725792340578,0.282967010485478,0.1969274207659421
flyingthings,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3487952899156292,0.3058993489574425,0.6941006510425576,0.3487952899156292,0.3058993489574425
flyingthings,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.29925521056575094,0.18777360547523764,0.8122263945247623,0.29925521056575094,0.18777360547523764
flyingthings,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.347179910929156,0.18780731035308168,0.8121926896469183,0.347179910929156,0.18780731035308168
flyingthings,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.1882881069376469,0.41394424094118654,0.5860557590588135,0.1882881069376469,0.41394424094118654
flyingthings,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.31016024371844986,0.3222268636529011,0.6777731363470989,0.31016024371844986,0.3222268636529011
pointodyssey,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3926271500098252,0.30544080935561974,0.6945591906443802,0.3926271500098252,0.30544080935561974
pointodyssey,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4264131256152426,0.12834065080159285,0.8716593491984072,0.4264131256152426,0.12834065080159285
pointodyssey,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.40185831739487404,0.1191476933316684,0.8808523066683316,0.40185831739487404,0.1191476933316684
pointodyssey,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.38192304781221054,0.13462789534829162,0.8653721046517084,0.38192304781221054,0.13462789534829162
pointodyssey,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4189200662664006,0.20625763338247083,0.7937423666175292,0.4189200662664006,0.20625763338247083
pointodyssey,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4416786759834396,0.1556891147664343,0.8443108852335657,0.4416786759834396,0.1556891147664343
pointodyssey,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4696574244779277,0.14674974089102635,0.8532502591089737,0.4696574244779277,0.14674974089102635
pointodyssey,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.31437955697384834,0.36621347509681856,0.6337865249031814,0.31437955697384834,0.36621347509681856
pointodyssey,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4403209416696909,0.2677039344736122,0.7322960655263878,0.4403209416696909,0.2677039344736122
