dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside
synthetic_random_flipping,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.24743413077910364,0.2243249642967557,0.7756750357032443
synthetic_random_flipping,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.1487578125976634,0.3148991334088628,0.6851008665911372
synthetic_random_flipping,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.23249109503563928,0.3345230946006758,0.6654769053993241
synthetic,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.20130866036082515,0.3462849219668558,0.6537150780331442
synthetic,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2055971294097254,0.300643816903302,0.699356183096698
synthetic,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2128626836913587,0.1342526283034775,0.8657473716965225
synthetic,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.19836910120426848,0.15537599975472174,0.8446240002452783
synthetic,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.22364680580949392,0.26415440680550395,0.735845593194496
synthetic,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.23735163439225532,0.15535490073168357,0.8446450992683164
synthetic,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.24981701189308467,0.2264773945380536,0.7735226054619464
synthetic,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.14758529732057166,0.31646453590305246,0.6835354640969475
synthetic,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.23149990085233685,0.3367490918377315,0.6632509081622685
flyingthings,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.34331084808352363,0.41708274420570207,0.5829172557942979
flyingthings,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3231465107329058,0.36291376886619464,0.6370862311338054
flyingthings,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.37591873432511413,0.2106714357042166,0.7893285642957835
