dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage
synthetic,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.4912138413772169,0.010175694422755902,0.9898243055772441,0.4912138413772169,0.010175694422755902
synthetic,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.4466338328003947,0.0343143602757759,0.965685639724224,0.4466338328003947,0.0343143602757759
synthetic,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.3785796296032772,0.2284647604884784,0.7715352395115216,0.3785796296032772,0.2284647604884784
synthetic,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.5203726518529079,0.031169905177188713,0.9688300948228112,0.5203726518529079,0.031169905177188713
synthetic,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.3887234331271549,0.24165226079032764,0.7583477392096724,0.3887234331271549,0.24165226079032764
synthetic,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.39963213325564284,0.17775061762759545,0.8222493823724045,0.39963213325564284,0.17775061762759545
synthetic,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.23179232479557202,0.21434965011751103,0.7856503498824889,0.23179232479557202,0.21434965011751103
synthetic,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.37303527910389916,0.1254768631715489,0.8745231368284511,0.37303527910389916,0.1254768631715489
synthetic_random_flipping,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.49280801647570066,0.012816065005351492,0.9871839349946485,0.49280801647570066,0.012816065005351492
synthetic_random_flipping,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.4982493805558036,0.006035616655138001,0.993964383344862,0.4982493805558036,0.006035616655138001
synthetic_random_flipping,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.45774469963815034,0.02382180312906991,0.9761781968709301,0.45774469963815034,0.02382180312906991
synthetic_random_flipping,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.40124957238307457,0.1559776654784037,0.8440223345215963,0.40124957238307457,0.1559776654784037
synthetic_random_flipping,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.48880166969697203,0.018942888738088373,0.9810571112619116,0.48880166969697203,0.018942888738088373
synthetic_random_flipping,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.40398276182990045,0.15793268703610383,0.8420673129638961,0.40398276182990045,0.15793268703610383
synthetic_random_flipping,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.44872855099748143,0.12552309109294732,0.8744769089070527,0.44872855099748143,0.12552309109294732
synthetic_random_flipping,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.3351693664686225,0.2123643528352911,0.7876356471647089,0.3351693664686225,0.2123643528352911
synthetic_random_flipping,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.41437032853536976,0.09162744988257311,0.9083725501174269,0.41437032853536976,0.09162744988257311
sintel,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.2558062651292575,0.12656937565971194,0.8734306243402881,0.2558062651292575,0.12656937565971194
sintel,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.37421064716112995,0.15933950842716846,0.8406604915728315,0.37421064716112995,0.15933950842716846
sintel,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.10650891090562073,0.12132354349897378,0.8786764565010262,0.10650891090562073,0.12132354349897378
sintel,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.04333342345389832,0.3022717655977298,0.6977282344022702,0.04333342345389832,0.3022717655977298
sintel,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.2933664359441381,0.16424525617494107,0.835754743825059,0.2933664359441381,0.16424525617494107
sintel,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.09979679957008561,0.45768101166029557,0.5423189883397044,0.09979679957008561,0.45768101166029557
sintel,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.0700250005071063,0.2621518124242335,0.7378481875757665,0.0700250005071063,0.2621518124242335
sintel,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.013136369740861234,0.20444686104311027,0.7955531389568897,0.013136369740861234,0.20444686104311027
sintel,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.050837452357402335,0.1568481997690412,0.8431518002309588,0.050837452357402335,0.1568481997690412
