dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside
flyingthings,train,pfpascal,val,dino,5,,1.0,gaussian,100.0,20.0,0.09026680299790843,0.06082428466367857,0.9391757153363214
flyingthings,train,spair,val,dino,5,,1.0,gaussian,100.0,20.0,0.0765587459115823,0.0,1.0
spair_synthetic_70_30,train,pointodyssey,val,dino,5,,1.0,gaussian,100.0,20.0,0.08197624884320348,2.6848536679909545e-06,0.999997315146332
spair_synthetic_70_30,train,tss,val,dino,5,,1.0,gaussian,100.0,20.0,0.0819948492857173,0.024532196662532094,0.9754678033374679
spair_synthetic_70_30,train,flyingthings,val,dino,5,,1.0,gaussian,100.0,20.0,0.08246420547989229,0.11107016052735251,0.8889298394726475
spair_synthetic_70_30,train,kitti,val,dino,5,,1.0,gaussian,100.0,20.0,0.09298752139805666,0.09234670407930645,0.9076532959206935
spair_synthetic_70_30,train,pfwillow,val,dino,5,,1.0,gaussian,100.0,20.0,0.07354904548011752,0.0,1.0
spair_synthetic_70_30,train,middlebury,val,dino,5,,1.0,gaussian,100.0,20.0,0.08561928178789488,0.08474796523960372,0.9152520347603963
spair_synthetic_70_30,train,kitti2012,val,dino,5,,1.0,gaussian,100.0,20.0,0.09574622793612317,0.1056616656851597,0.8943383343148403
spair_synthetic_70_30,train,pfpascal,val,dino,5,,1.0,gaussian,100.0,20.0,0.1127285161777195,0.0799186259436293,0.9200813740563707
spair_synthetic_70_30,train,spair,val,dino,5,,1.0,gaussian,100.0,20.0,0.07634690394222304,0.0,1.0
sintel,train,pointodyssey,val,dino,5,,1.0,gaussian,100.0,20.0,0.06998280795262025,2.5784068409332037e-06,0.9999974215931591
sintel,train,tss,val,dino,5,,1.0,gaussian,100.0,20.0,0.04685671989072855,0.018471009426726956,0.981528990573273
sintel,train,flyingthings,val,dino,5,,1.0,gaussian,100.0,20.0,0.06552152454905705,0.11451383514646171,0.8854861648535383
sintel,train,kitti,val,dino,5,,1.0,gaussian,100.0,20.0,0.07302758877958603,0.0953720580488942,0.9046279419511059
sintel,train,pfwillow,val,dino,5,,1.0,gaussian,100.0,20.0,0.04622911995589625,0.0,1.0
sintel,train,middlebury,val,dino,5,,1.0,gaussian,100.0,20.0,0.05747486940355197,0.07918546754916396,0.920814532450836
sintel,train,kitti2012,val,dino,5,,1.0,gaussian,100.0,20.0,0.07999150516374366,0.11252545873465444,0.8874745412653455
sintel,train,pfpascal,val,dino,5,,1.0,gaussian,100.0,20.0,0.07388402647464164,0.07067094447817787,0.9293290555218221
sintel,train,spair,val,dino,5,,1.0,gaussian,100.0,20.0,0.054336141314379874,0.0,1.0
