run_id,run_name,train_dataset,step_tag,logsteps,pretrained,freeze,timestamp,selected_training_steps,selected_epoch,selected_metric,selection_policy,metric,auc_steps,benchmarks,checkpoint_path
snapshots/spair_synthetic_70_30_steps100_pretrainedFalse_freezeTrue_2025_12_16_11_38,spair_synthetic_70_30_steps100_pretrainedFalse_freezeTrue_2025_12_16_11_38,spair_synthetic_70_30,steps,100,False,True,2025_12_16_11_38,1000,10,29.186200000000003,auc,pck,5000,__all__,snapshots/spair_synthetic_70_30_steps100_pretrainedFalse_freezeTrue_2025_12_16_11_38/epoch_10.pth
snapshots/spair_synthetic_70_30_steps100_pretrainedFalse_freezeTrue_2025_12_16_15_25,spair_synthetic_70_30_steps100_pretrainedFalse_freezeTrue_2025_12_16_15_25,spair_synthetic,steps,100,False,True,2025_12_16_15_25,5000,50,139500.415,auc,pck,5000,__all__,snapshots/spair_synthetic_70_30_steps100_pretrainedFalse_freezeTrue_2025_12_16_15_25/epoch_50.pth
snapshots/spair_synthetic_70_30_steps100_pretrainedTrue_freezeFalse_2025_12_16_11_38,spair_synthetic_70_30_steps100_pretrainedTrue_freezeFalse_2025_12_16_11_38,spair_synthetic_70_30,steps,100,True,False,2025_12_16_11_38,1000,10,58.88116,auc,pck,5000,__all__,snapshots/spair_synthetic_70_30_steps100_pretrainedTrue_freezeFalse_2025_12_16_11_38/epoch_10.pth
snapshots/spair_synthetic_70_30_steps100_pretrainedTrue_freezeFalse_2025_12_17_03_25,spair_synthetic_70_30_steps100_pretrainedTrue_freezeFalse_2025_12_17_03_25,spair_synthetic,steps,100,True,False,2025_12_17_03_25,5000,50,238294.84500000003,auc,pck,5000,__all__,snapshots/spair_synthetic_70_30_steps100_pretrainedTrue_freezeFalse_2025_12_17_03_25/epoch_50.pth
snapshots/spair_synthetic_70_30_steps100_pretrainedTrue_freezeTrue_2025_12_16_11_37,spair_synthetic_70_30_steps100_pretrainedTrue_freezeTrue_2025_12_16_11_37,spair_synthetic_70_30,steps,100,True,True,2025_12_16_11_37,1000,10,60.223929999999996,auc,pck,5000,__all__,snapshots/spair_synthetic_70_30_steps100_pretrainedTrue_freezeTrue_2025_12_16_11_37/epoch_10.pth
snapshots/spair_synthetic_70_30_steps100_pretrainedTrue_freezeTrue_2025_12_16_15_25,spair_synthetic_70_30_steps100_pretrainedTrue_freezeTrue_2025_12_16_15_25,spair_synthetic,steps,100,True,True,2025_12_16_15_25,5000,50,244591.95,auc,pck,5000,__all__,snapshots/spair_synthetic_70_30_steps100_pretrainedTrue_freezeTrue_2025_12_16_15_25/epoch_50.pth
snapshots/spair_synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_16_11_37,spair_synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_16_11_37,spair_synthetic,steps,100,False,False,2025_12_16_11_37,1000,10,34.54795,auc,pck,5000,__all__,snapshots/spair_synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_16_11_37/epoch_10.pth
snapshots/spair_synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_16_15_25,spair_synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_16_15_25,spair_synthetic,steps,100,False,False,2025_12_16_15_25,5000,50,152340.49000000002,auc,pck,5000,__all__,snapshots/spair_synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_16_15_25/epoch_50.pth
snapshots/spair_synthetic_steps100_pretrainedFalse_freezeTrue_2025_12_16_11_37,spair_synthetic_steps100_pretrainedFalse_freezeTrue_2025_12_16_11_37,spair_synthetic,steps,100,False,True,2025_12_16_11_37,1000,10,32.45152,auc,pck,5000,__all__,snapshots/spair_synthetic_steps100_pretrainedFalse_freezeTrue_2025_12_16_11_37/epoch_10.pth
snapshots/spair_synthetic_steps100_pretrainedFalse_freezeTrue_2025_12_16_15_25,spair_synthetic_steps100_pretrainedFalse_freezeTrue_2025_12_16_15_25,spair_synthetic,steps,100,False,True,2025_12_16_15_25,5000,50,144881.955,auc,pck,5000,__all__,snapshots/spair_synthetic_steps100_pretrainedFalse_freezeTrue_2025_12_16_15_25/epoch_50.pth
snapshots/spair_synthetic_steps100_pretrainedTrue_freezeFalse_2025_12_16_11_38,spair_synthetic_steps100_pretrainedTrue_freezeFalse_2025_12_16_11_38,spair_synthetic,steps,100,True,False,2025_12_16_11_38,1000,10,62.048429999999996,auc,pck,5000,__all__,snapshots/spair_synthetic_steps100_pretrainedTrue_freezeFalse_2025_12_16_11_38/epoch_10.pth
snapshots/spair_synthetic_steps100_pretrainedTrue_freezeFalse_2025_12_16_15_25,spair_synthetic_steps100_pretrainedTrue_freezeFalse_2025_12_16_15_25,spair_synthetic,steps,100,True,False,2025_12_16_15_25,5000,50,246396.55,auc,pck,5000,__all__,snapshots/spair_synthetic_steps100_pretrainedTrue_freezeFalse_2025_12_16_15_25/epoch_50.pth
snapshots/spair_synthetic_steps100_pretrainedTrue_freezeTrue_2025_12_16_11_37,spair_synthetic_steps100_pretrainedTrue_freezeTrue_2025_12_16_11_37,spair_synthetic,steps,100,True,True,2025_12_16_11_37,1000,10,61.341409999999996,auc,pck,5000,__all__,snapshots/spair_synthetic_steps100_pretrainedTrue_freezeTrue_2025_12_16_11_37/epoch_10.pth
snapshots/spair_synthetic_steps100_pretrainedTrue_freezeTrue_2025_12_16_15_25,spair_synthetic_steps100_pretrainedTrue_freezeTrue_2025_12_16_15_25,spair_synthetic,steps,100,True,True,2025_12_16_15_25,5000,50,246614.26499999996,auc,pck,5000,__all__,snapshots/spair_synthetic_steps100_pretrainedTrue_freezeTrue_2025_12_16_15_25/epoch_50.pth
snapshots/synthetic_large_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_11_12_20,synthetic_large_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_11_12_20,synthetic,steps,100,False,False,2025_12_11_12_20,3000,30,145612.12,auc,pck,5000,__all__,snapshots/synthetic_large_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_11_12_20/epoch_30.pth
snapshots/synthetic_large_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_13_11_44,synthetic_large_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_13_11_44,synthetic,steps,100,False,False,2025_12_13_11_44,5000,50,181478.355,auc,pck,5000,__all__,snapshots/synthetic_large_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_13_11_44/epoch_50.pth
snapshots/synthetic_large_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_11_12_20,synthetic_large_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_11_12_20,synthetic,steps,100,True,False,2025_12_11_12_20,3000,30,254296.815,auc,pck,5000,__all__,snapshots/synthetic_large_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_11_12_20/epoch_30.pth
