ctx_rho_g,ctx_rho_g_lo,ctx_rho_g_hi,cent_rho_g,cent_rho_g_lo,cent_rho_g_hi,ctx_rho_L,ctx_rho_L_lo,ctx_rho_L_hi,ctx_rho_Lg,ctx_rho_Lg_lo,ctx_rho_Lg_hi,abs_r_Lg,abs_r_Lg_lo,abs_r_Lg_hi,target,split,family,label,head,n_rows
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8430386279134926,0.8992581600508667,peak_pck,LOTO,appearance,shuffle,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8507233456133924,0.9034526521434216,peak_pck,LOTO,appearance,shuffle,g_gbm,891
0.3425364758698092,0.12555215840079342,0.45073935553131445,0.3187690676772133,0.11607057893987988,0.43668165025278144,-1.0,-1.0,-1.0,-0.04983164983164984,-0.25054467951161746,0.19487742926339421,0.8819090185080629,0.7792280163039471,0.9659008525089474,peak_pck,LOTO,motion_sym,main,g,891
0.29955106621773286,0.09881745103836301,0.4398531680405455,0.4007288585965464,0.125131476451209,0.5309589792243712,-1.0,-1.0,-1.0,-0.03411896745230079,-0.3091504683286881,0.20177040466392326,0.88491865480825,0.8009992388855377,0.9610300902791872,peak_pck,LOTO,motion_sym,main,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.7882245661294865,0.9521910794519625,peak_pck,LOTO,motion_sym,main,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.748957990326203,0.9599075382907272,peak_pck,LOTO,motion_sym,main,g_gbm,891
-0.041301907968574636,-0.1106213412160204,0.034437675757974746,-0.08457135102457525,-0.12210057518415253,0.021144255500808555,-1.0,-1.0,-1.0,-0.8099887766554433,-0.94075291253695,-0.5299496555287732,0.8771829988732868,0.8490073065912219,0.9038588827077403,peak_pck,LOTO,motion_sym,shuffle,g,891
0.03254769921436588,-0.010373010504795369,0.07604857830495146,0.05654214335627144,-0.039371996831407866,0.1272183024530531,-1.0,-1.0,-1.0,-0.824354657687991,-0.9118140886931096,-0.6412747215963589,0.8772770009180448,0.8464353328977975,0.9027408587599118,peak_pck,LOTO,motion_sym,shuffle,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8535637583053513,0.9022198108787278,peak_pck,LOTO,motion_sym,shuffle,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8502722001478621,0.9034525680883981,peak_pck,LOTO,motion_sym,shuffle,g_gbm,891
0.4817059483726151,0.26720031405921546,0.5705628278350241,0.3846211410047106,0.2685092423799513,0.565421795289341,-1.0,-1.0,-1.0,-0.21335578002244668,-0.3694150652325338,-0.0410154363721053,0.8825871788247075,0.8025113406420843,0.9527379558592725,peak_pck,LOTO,motion_rule,main,g,891
0.45881032547699213,0.24740969783679384,0.5733255002474488,0.4276288523026065,0.28743467837561915,0.6321659435323367,-1.0,-1.0,-1.0,-0.4578002244668911,-0.6044524108132129,-0.2868746605430747,0.8705659930314473,0.7744234695563662,0.95323239418493,peak_pck,LOTO,motion_rule,main,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.7713498508060174,0.9664805202406839,peak_pck,LOTO,motion_rule,main,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.77316066698485,0.9571627668029119,peak_pck,LOTO,motion_rule,main,g_gbm,891
0.015937149270482606,-0.05290151327957111,0.08767941291637976,0.013244796333758243,-0.02905162612116172,0.08701765011641535,-1.0,-1.0,-1.0,-0.8228956228956228,-0.8625242072137494,-0.7465171933832236,0.8776090113465739,0.8533202455378646,0.9022785172938332,peak_pck,LOTO,motion_rule,shuffle,g,891
-0.006397306397306404,-0.07211549555786315,0.08309154008078742,-0.021611319862944792,-0.08517760433970906,0.055759392067535184,-1.0,-1.0,-1.0,-0.9156004489337822,-0.9494807350313177,-0.8397580891330889,0.8769475380745557,0.8451422235317103,0.9004557141909459,peak_pck,LOTO,motion_rule,shuffle,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8519726472001017,0.9002057076752813,peak_pck,LOTO,motion_rule,shuffle,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8496216147251767,0.9018494870601867,peak_pck,LOTO,motion_rule,shuffle,g_gbm,891
0.19068462401795735,-0.13566498353781872,0.4356687840941718,0.27327787635582423,-0.0578693435574996,0.4891462297606231,-1.0,-1.0,-1.0,-0.4448933782267115,-0.6540888635105658,-0.16744335558152837,0.8629538216149741,0.7690038968555537,0.9481122433869421,peak_pck,LOTO,motion_precision,main,g,891
0.1749719416386083,-0.19611660507824527,0.42928954249321954,0.3447547984505711,-0.10867311735549097,0.5422476806848878,-1.0,-1.0,-1.0,-0.5665544332210998,-0.7830029560076509,-0.3183043309571323,0.8575850446537999,0.7624911032759494,0.9599256862754472,peak_pck,LOTO,motion_precision,main,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.7645972363537417,0.9631739721434874,peak_pck,LOTO,motion_precision,main,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.7945751219684196,0.9512714063216146,peak_pck,LOTO,motion_precision,main,g_gbm,891
-0.030415263748597085,-0.0901685072414107,0.030781059815684242,-0.09642504875445164,-0.130769736650972,-0.003537773238410068,-1.0,-1.0,-1.0,-0.9037037037037038,-0.9261649533538368,-0.8404734488762264,0.877280618401503,0.8533309248645778,0.9038272550328882,peak_pck,LOTO,motion_precision,shuffle,g,891
0.043209876543209874,-0.02168301037768504,0.10175397569136649,0.14167668862081115,-0.028722992270203345,0.1940217493467277,-1.0,-1.0,-1.0,-0.9361391694725029,-0.9625681731704225,-0.8751838492041804,0.8769494988594823,0.8514237673154466,0.9025261374149932,peak_pck,LOTO,motion_precision,shuffle,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8410043223547377,0.9000766610540436,peak_pck,LOTO,motion_precision,shuffle,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8524490168264482,0.9038876767746798,peak_pck,LOTO,motion_precision,shuffle,g_gbm,891
0.3489337822671156,0.10634651185577114,0.5047558099285985,0.16888190604076955,-0.1370408776450575,0.3829853733769029,-1.0,-1.0,-1.0,-0.6181818181818183,-0.8076554747894311,-0.4430671007920584,0.8788711315119168,0.7880746152950662,0.9671595555994753,peak_pck,LOTO,motion_recall,main,g,891
0.3242424242424243,0.07402405546249767,0.48598234551649794,0.2118466199082917,-0.07311223116636097,0.44467507121469657,-1.0,-1.0,-1.0,-0.6347923681257014,-0.7993508375355012,-0.4709645782854506,0.8788735299580868,0.7863512672694641,0.9672898096483235,peak_pck,LOTO,motion_recall,main,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.7767831457218565,0.9609371108350059,peak_pck,LOTO,motion_recall,main,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.7761565354568267,0.9663587614619683,peak_pck,LOTO,motion_recall,main,g_gbm,891
-0.017620650953984292,-0.08595617344607409,0.03541929928168511,-0.003990728615365433,-0.11565017182255359,0.10300821688186577,-1.0,-1.0,-1.0,-0.9657687991021323,-0.9843457943925232,-0.9379401453486976,0.8771538003341519,0.8487331709766427,0.9047417771658559,peak_pck,LOTO,motion_recall,shuffle,g,891
-0.027384960718294042,-0.09847835583207164,0.05297889682180069,-0.00866682308209995,-0.1303538841566193,0.09111935669779032,-1.0,-1.0,-1.0,-0.9945005611672277,-0.9988649809191322,-0.9782650874985017,0.8771512988208077,0.8509709397126574,0.9042142106069018,peak_pck,LOTO,motion_recall,shuffle,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8509859001016468,0.9033304089724566,peak_pck,LOTO,motion_recall,shuffle,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8529099669411616,0.9006109948320206,peak_pck,LOTO,motion_recall,shuffle,g_gbm,891
0.3575757575757576,0.28121717171717164,0.43838804713804724,0.3248391245311603,0.23177965987921287,0.4286391821720878,0.6542087542087541,0.5981502525252526,0.7149873737373735,0.5872053872053871,0.5207996632996633,0.6596422558922559,0.6926924144789083,0.4855867162235173,0.8468568473423848,peak_pck,LOBO,motion,main,g,891
0.3653198653198653,0.2627651515151515,0.454989898989899,0.30634465316953624,0.1547480365711567,0.4218654585077908,0.6542087542087541,0.585689393939394,0.7152676767676767,0.5956228956228956,0.5225454545454545,0.6831717171717173,0.7042954892003249,0.46293259012195037,0.8468959088347072,peak_pck,LOBO,motion,main,g_zridge,891
,,,,,,0.6542087542087541,0.5735303030303031,0.7318017676767677,0.6542087542087541,0.5735303030303031,0.7318017676767677,0.7248091582801284,0.428386272917029,0.8949764422986698,peak_pck,LOBO,motion,main,g_rank,891
,,,,,,0.6542087542087541,0.6073791486291485,0.7138232323232322,0.6542087542087541,0.6073791486291485,0.7138232323232322,0.7248091582801284,0.47577075845762695,0.8742663728463086,peak_pck,LOBO,motion,main,g_gbm,891
-0.13872053872053872,-0.17313131313131308,-0.1038181818181818,-0.11007572043035131,-0.14720322936770985,-0.07123825273950733,0.04365881032547699,-0.02048989898989899,0.12001767676767681,0.01122334455667788,-0.04850000000000001,0.08383838383838384,0.5826774950109316,0.3327764334706777,0.7381616887506762,peak_pck,LOBO,motion,shuffle,g,891
-0.08653198653198653,-0.15676767676767678,-0.025925505050505032,-0.03440785526633092,-0.08961808992261933,0.009699773992283625,0.04365881032547699,-0.006952861952861954,0.12000000000000005,0.027160493827160497,-0.032830808080808085,0.11313131313131312,0.5831057864262853,0.2924237923700893,0.7549136702145495,peak_pck,LOBO,motion,shuffle,g_zridge,891
,,,,,,0.04365881032547699,-0.008101851851851855,0.09629629629629628,0.04365881032547699,-0.008101851851851855,0.09629629629629628,0.5839580884822625,0.29882360454588897,0.7278403751453444,peak_pck,LOBO,motion,shuffle,g_rank,891
,,,,,,0.04365881032547699,-0.016565656565656568,0.09458922558922558,0.04365881032547699,-0.016565656565656568,0.09458922558922558,0.5839580884822625,0.31521520342607356,0.7512581067731409,peak_pck,LOBO,motion,shuffle,g_gbm,891
