src,bench,variant,actual,L2,L2g
imagenet2dwarp,kitti2015,catspp|False|True,81.1634,79.42101583875835,71.78229733767667
imagenet2dwarp,kitti2015,catspp|True|False,92.1125,91.9976552985692,93.09100995962794
imagenet2dwarp,kitti2015,catspp|True|True,93.2336,92.03799928011891,92.93434726181195
imagenet2dwarp,kitti2015,glunet|False|False,85.4709,87.09420515878291,81.19763512831733
imagenet2dwarp,kitti2015,glunet|False|True,80.8596,83.92688480670533,77.31226578144323
imagenet2dwarp,kitti2015,glunet|True|False,29.7992,92.29474801650179,94.20224733576111
imagenet2dwarp,kitti2015,glunet|True|True,89.5363,90.6874023464059,92.42841511685766
imagenet2dwarp,kitti2015,raft|True|False,18.0252125,81.1024712513571,74.52342397478529
imagenet2dwarp,middlebury,catspp|False|False,44.0987,52.69343681544167,46.463830180255734
imagenet2dwarp,middlebury,catspp|False|True,43.6812,57.72690967487593,51.90981153759108
imagenet2dwarp,middlebury,catspp|True|False,53.1042,67.2436690075455,68.34401803188358
imagenet2dwarp,middlebury,catspp|True|True,52.309,67.4798818309095,68.38234952562247
imagenet2dwarp,middlebury,glunet|False|False,43.3059,75.14640895018621,70.6215536955854
imagenet2dwarp,middlebury,glunet|False|True,38.4231,70.88231295389934,65.97283430820474
imagenet2dwarp,middlebury,glunet|True|False,23.1404,82.66924908067105,84.58731362602339
imagenet2dwarp,middlebury,glunet|True|True,46.7311,81.41215147487108,83.1625156340019
imagenet2dwarp,middlebury,raft|True|False,12.416825,51.44262519651769,46.74530000716168
imagenet2dwarp,pfpascal,catspp|False|False,9.00725,47.43042969719422,51.25805139309315
imagenet2dwarp,pfpascal,catspp|False|True,7.8772,50.83517861308641,54.45347693970044
imagenet2dwarp,pfpascal,catspp|True|False,34.5998,64.5739260493227,65.3935915597033
imagenet2dwarp,pfpascal,catspp|True|True,45.3169,64.79499583725656,65.4636914317516
imagenet2dwarp,pfpascal,glunet|False|False,6.0177,60.95151204701088,63.7822844795221
imagenet2dwarp,pfpascal,glunet|False|True,6.6055,56.97098580644233,60.04065772618967
imagenet2dwarp,pfpascal,glunet|True|False,5.8954,69.3545697049652,70.76013201515771
imagenet2dwarp,pfpascal,glunet|True|True,29.9721,68.83900565205515,70.10827654135643
imagenet2dwarp,pfpascal,raft|True|False,5.7248375000000005,45.97968147643607,49.677384944336914
imagenet2dwarp,pfwillow,catspp|False|False,11.4111,41.40563263862248,45.15067686585099
imagenet2dwarp,pfwillow,catspp|False|True,11.5778,44.053925562815245,47.59348941854839
imagenet2dwarp,pfwillow,catspp|True|False,40.8778,61.36671300132103,61.868210243206576
imagenet2dwarp,pfwillow,catspp|True|True,48.9333,61.610101199685715,62.01409136178924
imagenet2dwarp,pfwillow,glunet|False|False,10.8778,50.81875693334962,53.59054827450824
imagenet2dwarp,pfwillow,glunet|False|True,10.5889,47.43143333134297,50.44070172125244
imagenet2dwarp,pfwillow,glunet|True|False,10.1,60.649768405660446,61.49592304858258
imagenet2dwarp,pfwillow,glunet|True|True,31.7,60.98502480900107,61.74769679761629
imagenet2dwarp,pfwillow,raft|True|False,6.6805625,39.66806145310479,43.313967625395996
imagenet2dwarp,pointodyssey,catspp|False|False,51.33235,48.03151557898755,53.4311727400589
imagenet2dwarp,pointodyssey,catspp|False|True,48.7736,48.53097994435295,53.54660898461826
imagenet2dwarp,pointodyssey,catspp|True|False,36.487,66.44085614527391,67.55470121056722
imagenet2dwarp,pointodyssey,catspp|True|True,41.4359,66.8593626880765,67.77201242466509
imagenet2dwarp,pointodyssey,glunet|False|False,82.9373,50.431036002221376,54.471100011138304
imagenet2dwarp,pointodyssey,glunet|False|True,78.5324,47.1813591424961,51.55963638831921
imagenet2dwarp,pointodyssey,glunet|True|False,25.0551,58.811272563308194,60.749636379348175
imagenet2dwarp,pointodyssey,glunet|True|True,89.2135,59.09974679935918,60.867069094976365
imagenet2dwarp,pointodyssey,raft|True|False,3.8248375,47.725153096332285,52.82714868737038
imagenet2dwarp,spair,catspp|False|False,3.93925,37.3545470324781,42.99226779985686
imagenet2dwarp,spair,catspp|False|True,3.9251,38.97124197081392,44.29921299292377
imagenet2dwarp,spair,catspp|True|False,16.6978,58.922416557010614,52.9195475941329
imagenet2dwarp,spair,catspp|True|True,23.1718,58.68423810931999,54.11492662342765
imagenet2dwarp,spair,glunet|False|False,2.6759,37.22358423965956,41.39816605606588
imagenet2dwarp,spair,glunet|False|True,2.6273,33.328065052482216,37.86408593925101
imagenet2dwarp,spair,glunet|True|False,2.8992,47.3349327594902,36.5699484405933
imagenet2dwarp,spair,glunet|True|True,6.6248,46.92410176174208,37.43042670509884
imagenet2dwarp,spair,raft|True|False,2.4022375,36.51822596091661,41.7859782866681
imagenet2dwarp,synthetic,catspp|False|False,19.63085,26.867723894886236,32.866425988722824
imagenet2dwarp,synthetic,catspp|False|True,19.6472,27.78291888352987,33.45147814420462
imagenet2dwarp,synthetic,catspp|True|False,37.1935,46.85884269292602,42.11985131263945
imagenet2dwarp,synthetic,catspp|True|True,39.7476,47.500667918228594,41.7888479181313
imagenet2dwarp,synthetic,glunet|False|False,9.7372,28.793605411923252,33.2385826242955
imagenet2dwarp,synthetic,glunet|False|True,9.3907,26.73493105365235,31.56430321807693
imagenet2dwarp,synthetic,glunet|True|False,6.6755,36.214035394613646,23.39928040501494
imagenet2dwarp,synthetic,glunet|True|True,21.0263,38.33894535863291,24.137321743546572
imagenet2dwarp,synthetic,raft|True|False,4.674075,25.0710613491389,30.643171041247342
imagenet2dwarp,tss,catspp|False|False,21.05095,40.97123343699324,45.97554376277273
imagenet2dwarp,tss,catspp|False|True,20.9901,43.21018388831307,47.93633875529303
imagenet2dwarp,tss,catspp|True|False,58.4608,59.92500100463935,59.426881728286766
imagenet2dwarp,tss,catspp|True|True,63.5068,60.30244552552419,59.90751102225034
