src,bench,variant,actual,L2,L2K
flyingthings,tss,catspp|True|False,66.7564,58.92073840549673,58.894277620953716
imagenet2dwarp,flyingthings,catspp|True|False,78.9297,56.4539717892504,57.421846815147326
imagenet2dwarp,kitti2012,catspp|True|False,92.9336,91.67417907553205,92.22187649399685
imagenet2dwarp,kitti2015,catspp|True|False,92.1125,92.81402624275411,93.64556734527434
imagenet2dwarp,pfpascal,catspp|True|False,34.5998,65.0226686111152,66.20784386128034
imagenet2dwarp,pfwillow,catspp|True|False,40.8778,61.63012011790037,62.157161209716875
imagenet2dwarp,pointodyssey,catspp|True|False,36.487,69.75257057800738,70.63915567514317
imagenet2dwarp,spair,catspp|True|False,16.6978,59.01720077462443,57.15938328528866
imagenet2dwarp,synthetic,catspp|True|False,37.1935,46.88005440837049,46.03454074887121
imagenet2dwarp,tss,catspp|True|False,58.4608,60.09699626490405,60.20705307846335
movi_f,flyingthings,catspp|True|False,77.7052,54.262034393617256,56.488856426700735
movi_f,kitti2012,catspp|True|False,94.5198,91.38473905536586,92.15656506149976
movi_f,kitti2015,catspp|True|False,94.1351,92.66727248107014,93.75089245393488
movi_f,pfpascal,catspp|True|False,34.8945,63.24542084844266,65.27775104236926
movi_f,pfwillow,catspp|True|False,38.0889,60.564162148426924,61.47422331018938
movi_f,pointodyssey,catspp|True|False,95.4377,69.59291303810079,70.25033520215787
movi_f,spair,catspp|True|False,14.7345,59.16747546700542,56.899193921419474
movi_f,synthetic,catspp|True|False,33.1069,47.09784000210011,45.8476115485532
movi_f,tss,catspp|True|False,58.5563,59.54333924678846,59.64045971926535
pointodyssey,flyingthings,catspp|True|False,79.6231,54.44001828758174,56.38161619386267
pointodyssey,kitti2012,catspp|True|False,96.6249,90.90434816183532,91.91425762740833
pointodyssey,kitti2015,catspp|True|False,95.30515,92.03287669207297,93.17551370823202
pointodyssey,pfpascal,catspp|True|False,42.4378,63.45229840050768,65.25932300417405
pointodyssey,pfwillow,catspp|True|False,44.75,60.35844815888895,61.154148399580386
pointodyssey,pointodyssey,catspp|True|False,72.7112,68.84275830798941,69.51404509598203
pointodyssey,spair,catspp|True|False,20.8771,58.40453213375854,56.68990849841878
pointodyssey,synthetic,catspp|True|False,40.1523,46.0776730252747,44.71681070746381
