dir,split,target,family_m,family_a,gap_g,gap_g_lo,gap_g_hi,p_gap_gt_0
results_eb_shrunk,LOTO,peak_pck,motion,random,0.6039529991292566,0.3501219475601725,0.7823678317129641,1.0
results_eb_shrunk,LOBO,peak_pck,motion,appearance,0.372648695687029,0.2770043290043289,0.4737373737373737,1.0
results_eb_shrunk,LOBO,peak_pck,motion_sym,appearance_sym,0.38492776414943075,0.2406060606060606,0.5491161616161614,1.0
results_eb_shrunk,LOBO,peak_pck,motion,random,0.5217780591630592,0.39474747474747474,0.6220075757575758,1.0
results_eb_shrunk,JOINT,peak_pck,motion,appearance,0.47767401152975025,0.2516211202237818,0.6955038103351426,1.0
results_eb_shrunk,JOINT,peak_pck,motion_sym,appearance_sym,0.38709487871595,0.1607699764468702,0.5737274479466873,1.0
results_eb_shrunk,JOINT,peak_pck,motion,random,0.3888925424834888,0.210228615688143,0.5582538719347853,0.9966666666666667
results_density_idw,LOTO,peak_pck,motion,appearance,0.7237710787120532,0.24260141465792465,0.9807261915715862,0.9966666666666667
results_density_idw,LOTO,peak_pck,motion_sym,appearance_sym,0.337535982743274,-0.14996268831391216,0.7125183207636872,0.9
results_density_idw,LOTO,peak_pck,motion,random,0.587273399140281,0.3444461096562626,0.7950345843271713,1.0
results_density_idw,LOBO,peak_pck,motion,appearance,0.3716188640371974,0.2770043290043289,0.47622979797979786,1.0
results_density_idw,LOBO,peak_pck,motion_sym,appearance_sym,0.3923056902356902,0.23740303030303028,0.5555126262626263,1.0
results_density_idw,LOBO,peak_pck,motion,random,0.5277062353695686,0.42353535353535343,0.6535858585858585,1.0
results_density_idw,JOINT,peak_pck,motion,appearance,0.4727733484891784,0.24062917024304084,0.7052503229913899,1.0
results_density_idw,JOINT,peak_pck,motion_sym,appearance_sym,0.3788853192056129,0.1447210390412739,0.6129498787293992,0.9966666666666667
results_density_idw,JOINT,peak_pck,motion,random,0.396707196223027,0.18447647864380878,0.5865168691234545,1.0
results_mixed,LOTO,auc_normalized,motion,appearance,0.6187339958942669,0.23519390176182542,0.974827050322435,1.0
results_mixed,LOTO,auc_normalized,motion_sym,appearance_sym,0.3792513249954857,-0.06527848803606516,0.7206313294400549,0.9566666666666667
results_mixed,LOTO,auc_normalized,motion,random,0.2394872585326012,-0.147328987084432,0.6103258474751955,0.8866666666666667
results_mixed,LOBO,auc_normalized,motion,appearance,0.1446764886964887,0.05474747474747488,0.23011010101010101,0.9933333333333333
results_mixed,LOBO,auc_normalized,motion_sym,appearance_sym,0.33815517476350804,0.23562878787878785,0.4349202020202019,1.0
results_mixed,LOBO,auc_normalized,motion,random,0.30179836059002724,0.1824686147186147,0.4439040404040402,1.0
