source,benchmark,dBT_flow_eq,dTB_flow_eq
synthetic_2d_warp,pfwillow,0.003295967042957583,0.02169431345489134
synthetic_2d_warp,tss,0.0047169591206215975,0.019818498493481843
synthetic_large_zoom,flyingthings,0.0031737206227285316,0.007577688407954012
synthetic_large_zoom,kitti2012,0.0015312287714466996,0.10049055686838607
synthetic_large_zoom,kitti2015,0.001668219207910417,0.08212940033884089
synthetic_large_zoom,pointodyssey,0.0017842589097176688,0.03865099484949815
synthetic_large_zoom,synthetic,0.045100490708334724,0.0035608107374445713
synthetic_large_zoom,spair,0.05109977628537526,0.0032420294051646466
synthetic_large_zoom,pfpascal,0.005772775165180379,0.03626948361112991
synthetic_large_zoom,pfwillow,0.007300055083789144,0.021417517508871747
synthetic_large_zoom,tss,0.008925176895805671,0.016957087323224915
synthetic_random_flipping,flyingthings,0.0023821249622498083,0.00908509280074793
synthetic_random_flipping,kitti2012,0.0015519701187420073,0.10322058648109629
synthetic_random_flipping,kitti2015,0.0017074917397743373,0.0876906681710846
synthetic_random_flipping,pointodyssey,0.0017419918135590192,0.03840723700245878
synthetic_random_flipping,synthetic,0.005792022327273848,0.0012145920860828466
synthetic_random_flipping,spair,0.009245310097128999,0.002526590406584744
synthetic_random_flipping,pfpascal,0.0030030670691484954,0.03396262946645727
synthetic_random_flipping,pfwillow,0.0028763991728347205,0.015250013200117889
synthetic_random_flipping,tss,0.002602203268432159,0.005832206137153192
synthetic_small_zoom,flyingthings,0.008074706078292318,0.007283896300840045
synthetic_small_zoom,kitti2012,0.001730845895222501,0.11311621828235302
synthetic_small_zoom,kitti2015,0.002772087319377793,0.0862490013238378
synthetic_small_zoom,pointodyssey,0.002655014020558227,0.037701096500594874
synthetic_small_zoom,synthetic,0.09333825349697265,0.004436335113221471
synthetic_small_zoom,spair,0.12099786689513159,0.003501970409680278
synthetic_small_zoom,pfpascal,0.03822233093438376,0.038139779676062024
synthetic_small_zoom,pfwillow,0.03831523734590305,0.025541229995486584
synthetic_small_zoom,tss,0.026471395794908748,0.023812054458895917
