arch,regime,source,benchmark,peak_pck,mean_nn_a_to_b,mean_nn_b_to_a,mean_nn_sym
glunet,FF,imagenet2dwarp,synthetic,9.7372,0.0011804586974903,0.1343450844287872,0.0677627715631388
glunet,TT,imagenet2dwarp,synthetic,21.0263,0.0011804586974903,0.1343450844287872,0.0677627715631388
raft,FF,imagenet2dwarp,synthetic,4.674075,0.0011804586974903,0.1343450844287872,0.0677627715631388
catspp,FF,imagenet2dwarp,tss,21.05095,0.0096816150471568,0.0268687028437852,0.018275158945471
catspp,TT,imagenet2dwarp,tss,63.5068,0.0096816150471568,0.0268687028437852,0.018275158945471
glunet,FF,imagenet2dwarp,tss,14.8312,0.0096816150471568,0.0268687028437852,0.018275158945471
glunet,TT,imagenet2dwarp,tss,50.4683,0.0096816150471568,0.0268687028437852,0.018275158945471
raft,FF,imagenet2dwarp,tss,7.744925,0.0096816150471568,0.0268687028437852,0.018275158945471
catspp,FF,movi_f,flyingthings,61.2423,2.5354949684697203e-05,0.010109425522387,0.0050673902360358
catspp,TT,movi_f,flyingthings,77.9071,2.5354949684697203e-05,0.010109425522387,0.0050673902360358
glunet,FF,movi_f,flyingthings,41.9398,2.5354949684697203e-05,0.010109425522387,0.0050673902360358
glunet,TT,movi_f,flyingthings,39.106,2.5354949684697203e-05,0.010109425522387,0.0050673902360358
raft,FF,movi_f,flyingthings,38.9566,2.5354949684697203e-05,0.010109425522387,0.0050673902360358
catspp,FF,movi_f,kitti2012,86.277,0.0345658287405967,0.0002016220241785,0.0173837253823876
catspp,TT,movi_f,kitti2012,95.7835,0.0345658287405967,0.0002016220241785,0.0173837253823876
glunet,FF,movi_f,kitti2012,83.278,0.0345658287405967,0.0002016220241785,0.0173837253823876
glunet,TT,movi_f,kitti2012,73.9202,0.0345658287405967,0.0002016220241785,0.0173837253823876
raft,FF,movi_f,kitti2012,81.5116,0.0345658287405967,0.0002016220241785,0.0173837253823876
catspp,FF,movi_f,kitti2015,84.7086,0.0489785522222518,0.0007183217676356,0.0248484369949437
catspp,TT,movi_f,kitti2015,94.8194,0.0489785522222518,0.0007183217676356,0.0248484369949437
glunet,FF,movi_f,kitti2015,71.5137,0.0489785522222518,0.0007183217676356,0.0248484369949437
glunet,TT,movi_f,kitti2015,61.7536,0.0489785522222518,0.0007183217676356,0.0248484369949437
raft,FF,movi_f,kitti2015,70.4775,0.0489785522222518,0.0007183217676356,0.0248484369949437
catspp,FF,movi_f,pfpascal,10.5168,0.009900483302772,0.0261815227568149,0.0180410030297935
catspp,TT,movi_f,pfpascal,38.85,0.009900483302772,0.0261815227568149,0.0180410030297935
glunet,FF,movi_f,pfpascal,12.3182,0.009900483302772,0.0261815227568149,0.0180410030297935
glunet,TT,movi_f,pfpascal,11.6719,0.009900483302772,0.0261815227568149,0.0180410030297935
raft,FF,movi_f,pfpascal,12.3863,0.009900483302772,0.0261815227568149,0.0180410030297935
catspp,FF,movi_f,pfwillow,13.6778,0.0188964996486902,0.0360206700861454,0.0274585848674178
catspp,TT,movi_f,pfwillow,38.0222,0.0188964996486902,0.0360206700861454,0.0274585848674178
