source,benchmark,dTB_full,dBT_full,dTB_xy,dBT_xy,dTB_flow,dBT_flow
synthetic,tss,0.09746065412470228,0.04909870557489971,0.006721913298487535,0.0022424484365557327,0.013529339549725471,0.004391579400043494
synthetic_2d_warp,flyingthings,0.07591171056217308,0.04238434951059196,0.002678659410792894,0.002844760967126679,0.006450567374142472,0.0018913175689746161
synthetic_2d_warp,kitti2012,0.31521380120061254,0.03090169066539676,0.06782592985874934,0.002341624566850685,0.11679836056169816,0.0013441702905488049
synthetic_2d_warp,kitti2015,0.3107531004596757,0.03067272807564849,0.08910629590869462,0.0022575489771149444,0.08539052403465165,0.0013798079270122999
synthetic_2d_warp,pointodyssey,0.1094345768550859,0.03169228357321876,0.0027146836358299567,0.002529212603062074,0.026346494730863437,0.0013688493455760943
synthetic_2d_warp,synthetic,0.05679418926345423,0.09497633380839539,0.0025965959175238366,0.0025972772341186106,0.0022299072425874806,0.01782123377297586
synthetic_2d_warp,spair,0.06359113752823127,0.08503476742747136,0.015135128597039353,0.002422307358053816,0.0026418144029995805,0.010935442273008166
synthetic_2d_warp,pfpascal,0.13802958760709105,0.04558877535599854,0.021117662680029212,0.002538389896705805,0.023030289478576525,0.0020780825468685936
synthetic_2d_warp,pfwillow,0.13036898192986474,0.04807987844082334,0.04918903490314102,0.00229784105146836,0.014517283355971983,0.0025020446861514427
synthetic_2d_warp,tss,0.09670390688418462,0.04956190609669697,0.0068878226005291265,0.0022525147436630597,0.012977068904845653,0.004049762244034323
synthetic_large_zoom,flyingthings,0.039579027247129604,0.0528079528705406,0.002674759896496272,0.0028132809299130134,0.0016098847060383077,0.0030987665767464867
synthetic_large_zoom,kitti2012,0.15781836473606364,0.019236220348079654,0.07062747132092527,0.0023843118705060584,0.03358639233669355,0.0015130135834299555
synthetic_large_zoom,kitti2015,0.16043780020959306,0.020672535266191686,0.09282072231505772,0.0022971368896848934,0.018607735108900274,0.0016152896057691844
synthetic_large_zoom,pointodyssey,0.05190067681216993,0.024895680368911797,0.0027384414442902837,0.002541796047395275,0.004345627842462218,0.001765422791540016
synthetic_large_zoom,synthetic,0.041641315948374606,0.20695059292279933,0.002607482084232677,0.00259716178111402,0.0005454661995017739,0.044804107581827665
synthetic_large_zoom,spair,0.06074076452501284,0.24601407463100716,0.015430851800379487,0.0024644712139651657,0.002053510308467068,0.050914290284507675
synthetic_large_zoom,pfpascal,0.1016018099722893,0.11879366898155576,0.021259191214620814,0.0024485660263453154,0.007733999076569044,0.005474674823335959
synthetic_large_zoom,pfwillow,0.10544686818987486,0.12904607799345155,0.050682194194151736,0.002388265693395511,0.004306812658653266,0.007014143847801219
synthetic_large_zoom,tss,0.057016781071098,0.11349209281263839,0.007029996655165687,0.0022907150806399696,0.0015690674172053477,0.00870485578546063
synthetic_random_flipping,flyingthings,0.17096960066756198,0.048300497057711035,0.002673852486453244,0.0028351544609548384,0.036074953927380506,0.0019947807264134574
synthetic_random_flipping,kitti2012,0.5875723564509695,0.03538006991498681,0.06858325897540084,0.0023514448598974677,0.32229531582454735,0.0015305465884451986
synthetic_random_flipping,kitti2015,0.5631196539552255,0.03530381646307987,0.09014655960043201,0.0022557503643679724,0.30030318041332277,0.0016445937234849798
synthetic_random_flipping,pointodyssey,0.27456272275302,0.03707205452215789,0.0027188965847570585,0.0025542713028789445,0.16899177940121465,0.0017127630772863782
synthetic_random_flipping,synthetic,0.05663045040534442,0.0530390667192762,0.002604905534205474,0.0026047929069037763,0.0033640277990180357,0.0028035744511419477
synthetic_random_flipping,spair,0.06735035476167457,0.0672776921855018,0.015232432662238754,0.0024194426160465804,0.0043810851176202875,0.004909615182121012
synthetic_random_flipping,pfpascal,0.27000307595529366,0.05049590823685149,0.02116708812694413,0.002551018498225679,0.1381408026739819,0.0022129076156779605
synthetic_random_flipping,pfwillow,0.18476270851315638,0.04939831402395448,0.049367205960466974,0.0023629839123212935,0.06309294401165678,0.002165200742250189
synthetic_random_flipping,tss,0.10980167508335713,0.04368927134580503,0.006876877178708505,0.002254848990907801,0.01999009611915413,0.001975064008730374
synthetic_small_zoom,flyingthings,0.024881569617726768,0.055900896801601464,0.0026820352149890163,0.0027689989738774686,0.0005868567527966753,0.008058961335109853
synthetic_small_zoom,kitti2012,0.11131600156132797,0.017142357284340062,0.07801390562942624,0.002472119734717843,0.009818110048956382,0.0017203606158273205
synthetic_small_zoom,kitti2015,0.1268470838518107,0.0235833140143328,0.10146430056981041,0.0024185556611690945,0.004036507296465532,0.0027546650236720724
synthetic_small_zoom,pointodyssey,0.02861290569349548,0.023828380556367303,0.0028301278104366843,0.0025655153142271456,0.0013924865426216274,0.002649594329740194
synthetic_small_zoom,synthetic,0.039920357474483234,0.24706239692491277,0.002681434836500718,0.002600420181752098,0.00018619926168048548,0.09330736391251342
synthetic_small_zoom,spair,0.061756053310913224,0.2926921647153186,0.016015333035354882,0.0025110759667425504,0.0019359316908053893,0.12099049833846023
synthetic_small_zoom,pfpascal,0.09350611139248356,0.15030997496359488,0.021909717539475602,0.00250691568327264,0.00590222812790222,0.03819621849233947
synthetic_small_zoom,pfwillow,0.10368025118218273,0.161948049696185,0.053475359233460945,0.002347141224469728,0.0031242169004805274,0.0382892624800985
synthetic_small_zoom,tss,0.04767755682207569,0.13510933057669244,0.007681590846741554,0.002395615128975932,0.0011339180114056434,0.026435614789845654
