family,source,backbone,encoder,condition,id_real_ratio,source_sensitivity,flow_mag,roughness
flowformer,sintel,scratch,trained,semantic,0.0092,36.6817,63.5128,0.0099
flowformer,sintel,scratch,frozen,realmotion,0.3480,15.4013,4.8520,0.0288
flowformer,sintel,scratch,frozen,semantic,0.0434,14.3794,23.2228,0.0349
flowformer,spair,scratch,trained,realmotion,0.9998,0.3108,25.4081,0.4548
flowformer,spair,scratch,trained,semantic,1.0009,0.2776,25.5710,0.4566
flowformer,spair,scratch,frozen,realmotion,0.9334,24.3332,104.5934,0.1357
flowformer,spair,scratch,frozen,semantic,0.9964,21.7420,101.7373,0.1529
flowformer,spair,ImageNet,trained,realmotion,0.9975,6.5583,131.2839,0.1300
flowformer,spair,ImageNet,trained,semantic,1.0248,7.2521,126.5229,0.1423
flowformer,spair,ImageNet,frozen,realmotion,1.0078,19.6116,132.3637,0.1377
flowformer,spair,ImageNet,frozen,semantic,0.9382,39.3678,139.1286,0.1241
